rx,tx
18.765,0.854
18.572,1.306
18.591,0.801
18.722,0.880
18.465,0.901
18.270,1.031
18.463,1.166
18.199,0.903
17.984,0.772
18.672,1.033
18.424,2.874
18.533,1.720
19.079,2.540
18.631,2.841
18.333,2.913
18.140,2.710
18.583,2.759
18.466,2.309
18.505,2.624
18.420,2.876
18.286,2.898
18.202,2.534
18.552,0.954
18.690,1.303
18.306,1.071
18.162,1.236
18.570,0.831
18.723,0.791
18.337,1.034
18.377,1.100
18.536,0.936
18.400,0.984
18.205,1.209
18.430,1.413
18.176,0.826
18.019,0.800
18.525,1.630
18.242,2.511
18.308,2.447
17.009,2.523
18.813,1.187
18.082,1.239
18.673,0.703
18.594,0.725
18.457,0.694
18.662,0.668
18.657,0.537
18.378,0.660
19.037,0.593
18.598,0.961
18.544,0.953
18.643,0.880
18.413,0.967
18.783,1.208
18.535,2.102
18.755,1.663
17.752,2.651
18.552,1.517
18.796,1.059
18.523,0.802
18.421,0.919
18.473,1.145
18.362,1.174
18.685,0.994
18.888,0.712
18.871,0.780
18.782,0.723
18.761,0.632
18.398,0.725
18.510,0.939
18.601,1.012
18.382,2.040
18.438,2.145
18.306,2.341
18.452,1.358
18.388,1.173
18.421,1.201
18.637,1.270
18.183,1.426
18.139,1.042
17.834,2.309
18.379,0.950
18.783,1.034
18.487,0.846
18.281,0.874
18.854,0.734
19.048,0.676
18.559,0.943
18.705,1.888
19.323,2.137
18.378,1.944
18.075,2.681
18.456,0.720
18.187,0.804
17.683,1.168
18.342,1.047
18.320,0.987
18.573,0.859
18.546,1.214
18.550,1.386
18.710,1.212
19.027,0.976
18.542,0.961
18.811,1.063
18.239,1.487
18.518,1.611
18.249,2.225
18.452,2.301
17.253,3.004
18.642,0.940
18.785,0.990
19.014,1.008
18.603,1.386
18.283,1.333
18.185,1.453
18.462,1.426
17.780,0.910
18.427,1.025
18.064,1.186
18.922,0.597
18.559,0.584
18.759,1.305
18.045,1.896
18.140,2.533
18.286,2.574
18.434,2.364
18.588,0.996
18.207,0.998
18.990,1.006
17.993,1.356
18.553,0.948
18.269,1.157
18.182,0.848
17.757,1.186
18.782,0.946
17.507,2.044
18.386,1.224
18.578,0.723
19.073,0.881
18.296,1.262
19.055,2.203
17.575,2.913
18.142,2.045
17.662,1.966
18.586,0.818
18.127,2.150
18.432,1.061
18.571,0.837
18.407,0.860
18.063,1.825
18.516,1.161
17.941,0.893
18.356,0.961
18.500,1.278
18.515,2.265
18.732,3.790
17.519,3.873
18.590,2.966
18.138,3.218
17.610,4.089
17.788,4.124
17.023,3.587
17.749,2.764
18.197,2.463
18.117,2.742
18.186,2.819
18.022,2.820
17.044,2.830
18.305,2.874
18.105,2.850
18.470,2.761
18.494,2.846
18.247,2.857
18.291,2.837
18.326,3.171
18.441,3.159
18.473,4.246
18.127,4.172
16.996,4.394
17.464,3.118
17.740,3.047
17.941,2.858
18.390,3.551
18.744,0.760
19.066,0.610
19.070,0.623
18.982,0.606
19.001,0.614
18.943,0.612
18.914,0.607
18.940,0.611
18.937,0.621
18.963,0.654
18.976,0.718
19.223,0.670
18.482,0.745
19.003,0.618
19.006,0.625
18.975,0.610
18.986,0.615
18.950,0.610
18.958,0.604
18.949,0.604
18.927,0.601
17.551,0.657
16.473,0.604
16.414,0.615
16.368,0.588
16.342,0.597
19.028,0.667
18.997,0.712
19.542,0.641
18.685,0.641
18.927,0.611
18.970,0.610
18.969,0.608
19.092,0.606
19.019,0.604
18.969,0.596
18.973,0.604
18.966,0.601
18.955,0.603
18.973,0.601
18.989,0.601
18.981,0.596
18.534,0.628
18.493,0.700
18.763,0.706
18.854,0.728
18.666,0.860
18.631,0.714
17.378,0.608
18.702,0.608
19.250,0.603
19.206,0.612
19.260,0.482
19.351,0.612
19.335,0.614
19.313,0.608
19.026,0.604
18.869,0.595
18.792,0.630
18.253,0.588
18.844,0.625
18.957,0.662
18.929,0.731
18.612,0.728
20.831,0.597
18.976,0.756
18.958,0.757
18.892,0.918
18.897,0.767
18.883,0.750
18.879,0.760
18.346,0.741
18.433,0.630
