rx,tx
4.014,0.204
39.514,3.275
39.407,3.389
39.378,3.345
39.093,3.193
38.815,3.661
37.415,3.904
38.226,3.877
38.572,3.953
37.061,4.040
38.061,4.276
38.434,4.036
38.533,4.059
37.498,4.045
38.428,4.062
38.442,4.268
37.925,4.335
37.983,4.078
38.676,4.047
36.212,3.319
31.870,3.378
36.804,3.431
36.285,3.438
33.408,3.423
32.000,3.558
36.008,3.336
31.669,3.236
36.423,3.236
33.769,3.296
33.735,3.193
33.988,3.378
34.118,3.478
34.461,3.375
32.398,3.337
33.608,3.400
36.005,3.711
38.222,3.998
38.255,4.025
38.294,4.177
37.083,4.118
37.947,4.103
35.450,4.260
31.904,4.046
35.108,3.841
38.482,4.319
35.736,4.318
36.814,4.082
37.679,4.099
35.675,4.094
37.470,3.917
35.267,3.399
32.010,3.329
32.421,3.335
33.626,3.307
35.370,3.328
33.852,3.271
38.441,3.308
38.930,3.283
36.269,3.166
37.117,3.844
33.667,3.439
34.457,3.476
33.998,3.442
37.759,3.395
34.133,3.216
36.547,4.121
36.690,3.952
37.139,3.768
37.942,3.672
37.952,3.540
38.212,3.332
38.708,3.432
38.082,3.354
37.096,3.366
38.136,3.408
37.362,3.384
35.712,3.362
37.875,3.399
38.563,3.352
38.621,3.404
38.344,3.355
38.850,3.391
38.042,3.358
37.101,3.624
37.744,3.321
37.397,3.413
38.371,3.677
38.639,3.977
38.868,3.882
38.829,3.592
38.642,3.668
38.644,3.450
38.597,3.449
38.654,3.443
38.614,3.453
38.614,3.427
38.688,3.536
38.595,3.460
38.610,3.339
38.487,3.357
38.668,3.404
38.348,3.335
39.102,3.268
38.954,3.354
32.227,3.241
34.697,4.055
37.607,4.171
37.752,4.001
38.212,3.474
37.597,3.759
38.796,3.458
39.319,3.331
38.537,3.252
38.480,3.282
39.461,3.014
38.736,3.025
36.584,3.259
37.422,3.241
37.820,3.339
38.213,3.243
38.876,3.257
38.376,3.348
38.285,3.241
38.496,3.778
37.443,3.835
38.035,4.001
36.241,3.655
37.893,3.241
37.737,3.393
37.919,3.540
37.044,3.417
38.438,3.453
38.214,3.420
39.062,3.136
38.793,3.315
38.076,3.269
39.417,3.329
38.248,3.512
39.189,3.075
38.880,3.191
38.820,3.277
38.828,3.760
37.881,4.022
39.038,3.947
38.820,3.556
38.776,3.363
38.268,3.325
37.233,3.313
34.052,3.242
36.927,3.280
38.389,3.418
38.440,3.483
37.992,3.474
37.439,3.353
38.710,3.293
38.538,3.421
39.053,3.251
39.473,3.262
38.421,3.450
38.711,4.018
38.888,3.889
39.014,3.919
39.290,3.374
39.171,3.369
38.630,3.348
39.247,3.293
38.922,3.393
38.857,3.338
38.780,3.364
38.785,3.562
38.665,3.343
39.253,3.275
39.160,3.324
39.284,3.287
39.267,3.303
39.259,3.373
39.455,3.446
39.255,3.736
38.280,3.905
39.067,4.062
39.273,3.332
39.320,3.308
38.858,3.281
38.760,3.233
38.582,3.287
39.294,3.477
39.037,2.933
38.766,3.247
38.754,3.206
38.745,3.343
38.806,3.259
38.681,3.356
38.629,3.265
38.148,3.887
37.329,3.962
38.211,3.986
38.181,3.587
38.586,3.371
38.756,3.325
38.779,3.306
38.894,3.355
38.901,3.261
38.806,3.215
39.122,3.443
38.682,3.451
38.830,3.501
39.104,3.528
39.334,3.247
38.529,3.443
38.939,3.527
38.997,3.631
38.811,3.273
38.457,4.000
38.400,3.974
38.843,3.944
38.712,4.085
38.749,3.652
38.838,3.481
38.706,3.430
38.950,2.308
39.000,2.048
38.970,3.451
38.517,3.446
38.299,3.382
37.410,3.260
37.732,3.336
38.596,3.293
38.709,3.230
38.640,3.291
38.522,3.381
38.596,3.430
38.553,3.293
37.821,3.858
38.350,3.915
38.144,3.919
38.344,3.580
38.122,3.427
38.242,3.459
38.808,3.502
38.504,3.764
38.407,3.454
38.621,3.432
38.073,3.464
38.847,3.152
38.399,3.364
36.443,3.347
37.940,3.347
37.289,3.493
32.792,3.324
32.269,3.417
38.103,3.269
38.813,3.007
38.317,4.188
38.802,4.012
38.790,4.000
35.498,4.031
36.811,3.890
38.856,3.507
38.997,3.300
38.802,3.299
38.080,3.320
38.436,3.288
32.237,3.363
34.851,3.520
37.261,3.294
37.748,3.227
37.930,2.929
35.480,3.355
34.992,3.264
35.294,3.356
35.654,3.330
34.705,3.855
38.730,3.975
37.083,4.351
33.505,4.086
38.050,4.053
38.629,4.059
38.537,4.138
38.641,4.058
38.563,4.084
38.649,3.928
35.630,3.311
38.630,3.314
38.867,3.358
38.401,3.548
38.842,3.495
36.422,3.441
37.391,3.436
38.508,3.310
36.048,3.374
35.305,3.382
36.929,3.342
37.383,3.281
36.573,3.431
39.239,3.160
38.634,3.524
37.102,3.959
38.376,3.926
37.629,3.931
38.583,4.028
38.564,4.389
37.925,4.108
38.606,4.079
38.545,4.001
34.046,4.045
36.223,4.030
38.343,4.009
39.099,3.269
38.961,3.318
38.233,3.520
36.481,3.450
32.328,3.452
36.351,3.354
38.440,3.442
38.490,3.406
38.895,3.271
36.633,3.275
34.611,3.242
39.120,3.356
37.739,3.341
38.107,3.299
33.057,3.459
37.163,3.882
35.492,4.124
37.916,3.987
35.086,4.053
38.446,4.056
34.063,4.265
37.238,4.278
38.739,4.018
38.791,4.037
36.877,4.021
37.613,3.828
38.546,3.463
38.643,3.460
38.079,3.470
38.439,3.330
38.623,3.359
37.269,3.490
37.170,3.289
32.162,3.284
32.102,3.471
31.957,2.981
38.393,3.248
34.300,3.297
36.709,3.236
38.202,3.332
33.604,3.953
33.944,3.884
36.107,4.378
38.985,4.078
38.476,4.007
38.837,4.115
37.313,3.572
38.033,3.476
37.962,3.435
37.445,3.399
36.938,3.479
37.447,3.320
38.267,3.396
38.442,3.522
38.587,3.451
38.385,3.450
38.191,3.408
38.491,3.423
38.793,3.146
37.482,3.112
38.189,3.330
34.951,3.405
37.921,3.491
37.608,4.266
36.480,3.903
38.199,3.682
38.258,3.941
37.102,3.990
38.107,4.396
37.081,4.087
37.711,4.074
37.714,4.031
35.999,4.010
38.820,4.033
36.480,4.227
37.817,3.396
38.231,3.477
