rx,tx
31.536,14.629
32.269,15.435
34.277,14.094
33.814,14.150
31.987,12.981
31.637,14.258
32.213,14.204
30.203,15.369
29.914,13.559
30.412,15.519
30.460,15.549
29.939,15.265
30.070,14.503
31.159,13.393
30.814,15.547
30.824,15.568
30.473,15.317
33.374,13.133
31.018,14.069
30.337,14.309
29.622,15.417
30.409,14.379
33.406,14.318
33.118,13.164
32.817,14.356
33.349,13.331
32.493,15.385
32.098,15.422
32.925,14.366
30.806,13.517
31.981,14.562
32.143,15.626
32.721,14.633
32.528,15.569
32.679,15.583
32.004,14.670
29.063,15.330
29.565,14.401
29.438,13.816
31.343,14.563
31.371,15.611
31.308,15.615
31.423,15.593
31.134,15.649
30.890,15.619
28.065,15.414
27.283,15.404
27.282,15.365
30.072,15.252
32.575,15.613
32.197,15.597
32.503,15.602
32.544,15.641
32.482,15.621
32.276,15.658
32.377,15.630
32.231,15.672
32.555,15.634
32.494,15.573
32.381,15.548
32.395,15.249
32.365,15.288
32.549,15.330
32.500,15.562
31.303,14.997
29.873,15.498
29.911,15.507
29.537,15.113
29.945,15.514
30.029,15.203
29.887,15.507
29.860,15.360
29.951,15.371
29.905,15.236
29.976,15.295
29.968,15.313
30.045,15.515
30.171,15.215
30.006,15.504
29.986,15.343
30.108,15.311
30.130,15.261
29.860,15.504
29.923,15.527
30.064,15.551
30.371,15.301
30.078,15.262
29.939,15.499
30.279,15.207
30.169,15.052
31.081,15.525
31.110,15.311
31.272,15.567
32.115,15.283
32.537,15.571
32.825,15.224
32.473,15.380
32.527,15.568
32.599,15.306
32.417,15.598
32.548,15.364
32.718,15.310
32.663,15.574
32.537,15.338
32.675,15.394
32.446,15.344
32.748,15.536
32.645,15.552
32.510,15.384
32.432,15.357
32.250,15.367
32.315,15.345
32.417,15.559
32.579,15.554
31.694,15.242
31.143,15.298
30.802,15.350
30.265,15.298
30.044,15.540
30.887,15.074
30.674,15.558
31.674,15.080
30.822,15.566
31.794,14.970
31.416,15.179
31.782,15.077
31.386,15.126
30.903,15.562
31.487,15.145
31.597,15.170
30.888,15.531
31.608,15.139
31.322,15.237
31.338,15.170
30.913,15.552
31.674,15.037
31.717,15.116
31.046,15.530
31.607,15.023
31.403,15.162
30.794,15.547
31.592,15.162
31.443,15.144
30.797,15.594
31.503,15.118
31.494,15.226
30.795,15.568
31.290,15.197
31.725,14.777
30.777,15.577
31.713,14.962
31.409,15.166
30.778,15.556
30.842,15.550
31.620,15.129
31.350,15.167
30.885,15.548
32.799,15.169
32.557,15.592
33.217,15.058
33.120,15.127
32.750,15.201
32.249,15.602
32.951,15.160
32.264,15.634
32.739,15.190
32.849,15.186
32.450,15.586
32.893,15.189
32.659,15.393
32.501,15.359
33.000,15.202
32.404,15.600
32.752,15.215
34.161,14.638
34.149,15.020
32.455,15.527
33.396,15.157
32.569,15.539
33.268,15.162
33.048,15.192
33.388,15.168
33.141,15.212
33.299,15.278
32.360,15.596
33.144,15.136
32.450,15.586
33.067,15.146
32.320,15.319
33.492,14.205
33.477,15.073
33.534,14.758
34.056,14.581
33.308,15.027
32.683,15.579
33.211,15.121
32.836,15.518
32.771,15.608
33.738,15.189
33.530,15.178
33.731,15.050
32.871,15.517
32.993,15.627
33.237,15.602
33.218,15.644
33.385,15.095
32.793,15.227
33.933,14.426
34.049,15.592
34.253,15.622
34.682,15.123
34.223,15.571
34.613,15.084
34.499,15.396
34.071,15.393
34.615,14.717
33.053,15.307
33.242,15.073
32.189,15.602
33.038,15.141
32.770,15.580
33.347,15.064
32.475,15.574
32.663,15.556
33.049,15.148
33.040,15.377
32.881,15.431
32.796,15.244
32.922,15.306
32.780,15.493
33.100,15.116
32.940,15.389
32.924,15.397
32.551,15.606
33.118,15.028
33.040,15.203
33.153,15.199
32.191,15.574
33.175,15.111
32.269,15.548
31.249,14.721
29.755,14.805
29.896,14.787
29.272,15.240
29.261,15.279
29.640,14.862
29.739,14.910
29.858,14.832
30.503,15.119
30.026,15.481
31.036,14.713
30.152,15.500
30.566,15.064
30.611,15.011
29.976,15.475
29.859,15.479
30.578,15.031
30.074,15.479
30.801,14.975
30.380,15.119
30.001,15.515
30.693,15.019
29.974,15.501
30.682,15.037
30.314,15.317
30.229,15.264
30.563,15.097
29.974,15.473
30.032,15.505
30.693,14.999
30.542,15.083
30.362,15.106
30.645,15.034
30.004,15.516
30.658,15.030
30.005,15.508
30.568,15.112
30.588,15.120
30.010,15.495
30.652,15.130
29.996,15.487
30.679,15.074
30.639,15.060
30.583,15.067
30.060,15.464
30.450,15.091
30.768,14.981
29.984,15.498
31.230,15.081
30.950,15.526
31.209,15.505
31.701,15.075
31.053,15.551
31.071,15.544
31.716,15.081
31.351,15.226
31.194,15.356
31.686,15.101
31.602,15.176
30.850,15.555
