rx,tx
17.714,0.637
17.733,0.678
17.771,0.710
17.957,0.685
18.107,0.751
17.629,0.667
17.734,0.672
17.774,0.683
17.778,0.661
18.125,0.654
18.143,0.768
18.145,0.658
18.166,0.667
18.001,0.618
17.480,0.653
17.843,0.720
16.687,0.637
17.454,0.664
17.436,0.662
17.634,0.705
17.470,0.657
18.085,0.656
17.888,0.663
17.517,0.653
17.811,0.756
15.592,0.654
17.668,0.650
17.518,0.655
17.481,0.734
17.704,0.646
17.952,0.659
16.936,0.658
18.049,0.681
17.908,0.661
18.064,0.659
18.269,0.652
17.957,0.688
17.539,0.712
17.728,0.649
17.531,0.658
17.936,0.661
17.555,0.670
17.913,0.698
17.994,0.661
18.155,0.680
17.821,0.665
18.013,0.651
18.440,0.662
17.909,0.742
17.849,0.694
17.540,0.669
17.507,0.656
17.503,0.676
17.485,0.661
17.861,0.706
17.783,0.656
17.506,0.663
17.508,0.670
17.526,0.662
17.530,0.674
17.485,0.734
17.521,0.677
17.527,0.663
17.864,0.667
17.498,0.663
17.526,0.665
17.293,0.736
14.442,0.692
14.982,0.680
14.956,0.663
14.928,0.663
15.408,0.629
15.023,0.745
15.074,0.656
14.900,0.665
14.814,0.676
14.863,0.665
14.863,0.734
14.812,0.656
14.970,0.658
15.206,0.662
14.875,0.661
14.851,0.736
14.868,0.661
14.892,0.651
14.878,0.656
14.902,0.658
15.243,0.738
14.840,0.658
14.219,0.660
14.849,0.672
14.858,0.728
14.830,0.661
14.846,0.661
15.259,0.634
14.829,0.736
14.838,0.655
14.833,0.663
14.903,0.659
14.822,0.662
