rx,tx
39.717,3.265
39.697,3.373
39.715,3.688
39.722,3.956
39.719,3.966
39.726,3.914
38.024,3.280
39.721,3.434
39.716,3.423
39.717,3.048
39.722,3.302
39.731,3.275
39.717,3.269
39.721,3.332
39.722,3.348
39.725,3.372
39.723,3.426
39.718,3.478
39.716,3.381
39.717,3.495
39.713,3.914
39.712,3.824
39.715,4.357
39.717,3.443
39.719,3.373
39.717,3.391
39.722,3.420
39.720,3.283
39.716,3.112
39.720,3.172
39.717,3.312
39.723,3.303
39.718,3.338
39.718,3.251
39.718,3.269
39.719,3.350
39.721,3.385
39.719,3.844
39.716,4.148
39.392,3.974
39.730,3.639
39.726,3.421
39.719,3.312
39.721,3.339
39.722,3.329
39.720,3.338
39.720,3.381
39.723,3.321
39.721,3.509
39.726,3.284
39.723,3.330
39.718,3.338
39.715,3.301
39.717,3.216
39.719,3.907
39.717,3.844
39.719,3.857
39.729,3.796
39.719,3.530
39.721,3.408
39.716,3.382
39.687,3.338
39.722,3.320
39.719,3.364
39.720,2.960
39.720,3.490
39.721,3.345
39.720,3.297
39.713,3.440
39.717,3.347
39.716,3.426
39.717,3.678
39.716,3.922
39.717,3.992
39.720,4.086
39.723,3.303
39.727,3.495
39.722,3.419
39.720,3.369
39.716,3.504
39.717,3.399
39.720,3.378
39.727,3.351
39.721,3.338
39.714,3.382
39.721,3.386
39.721,2.970
39.718,3.434
39.726,3.556
39.719,4.027
39.717,4.184
39.724,4.053
39.715,3.487
39.717,3.417
39.544,3.452
39.715,3.527
39.722,3.247
39.722,3.225
39.725,3.381
39.715,3.460
39.716,3.373
39.716,3.415
39.719,3.384
39.718,3.356
39.719,3.392
39.723,3.581
39.724,3.972
39.722,3.956
39.711,4.344
39.715,3.382
39.715,3.407
39.720,3.271
39.721,3.289
39.721,3.159
39.715,3.452
39.719,3.303
39.727,3.346
39.723,3.235
39.713,3.364
39.720,3.347
39.718,3.349
39.720,3.371
39.718,3.966
39.714,3.931
39.719,3.870
39.564,4.027
39.718,3.321
39.719,3.469
39.718,3.277
39.716,3.295
39.719,3.312
39.722,3.332
39.726,3.344
39.728,3.366
39.716,3.025
39.721,3.312
39.716,3.321
39.716,3.356
39.716,3.469
39.720,3.574
39.716,3.948
39.716,4.131
39.674,4.259
39.720,3.640
39.720,2.994
39.724,3.401
39.724,3.281
39.717,3.394
39.726,3.309
39.718,3.321
39.721,3.252
39.724,3.320
39.722,3.364
39.720,3.364
39.723,3.299
39.721,3.395
39.721,3.609
39.726,3.891
39.724,4.043
39.724,3.980
39.724,3.411
39.717,3.380
39.717,3.408
39.716,3.388
39.719,3.393
39.717,3.155
39.716,3.373
39.718,3.400
39.724,3.363
39.720,3.387
39.719,3.350
39.718,3.382
39.723,3.383
39.721,3.320
39.718,3.847
39.715,3.998
39.714,4.358
39.722,3.556
39.714,3.319
39.718,3.005
39.719,3.286
39.720,3.373
39.716,3.330
39.723,3.368
39.719,3.387
39.716,3.382
39.717,3.301
39.720,3.419
39.719,3.347
39.719,3.330
39.718,3.364
39.718,3.609
39.717,3.905
39.715,4.297
39.718,3.931
39.716,3.360
39.724,3.421
39.715,3.303
39.719,3.434
39.719,3.303
39.721,3.277
39.720,3.364
39.719,3.312
39.721,3.356
39.721,3.364
39.716,3.408
39.716,3.565
39.715,3.186
39.721,3.406
39.717,4.129
39.717,3.948
39.720,4.001
39.714,3.678
39.719,3.295
39.719,3.321
39.719,3.347
39.718,3.504
39.718,3.373
39.725,3.344
39.720,3.298
39.718,3.233
39.726,3.191
39.718,3.356
39.719,3.476
39.719,3.295
39.719,3.241
39.720,3.958
39.720,3.913
39.718,4.056
39.724,3.302
39.720,3.289
39.717,3.391
39.715,3.330
39.722,3.347
39.717,3.530
39.718,3.428
39.722,3.331
39.720,3.399
39.722,3.392
39.722,3.394
39.716,3.364
39.718,3.391
39.716,3.281
39.723,3.980
39.717,3.799
39.727,4.287
39.723,3.774
39.716,3.338
39.716,3.382
39.716,3.417
39.716,3.478
39.718,3.356
39.718,2.868
39.720,3.356
39.719,3.469
39.720,3.312
39.718,3.286
39.716,3.362
39.719,3.311
39.724,3.317
39.721,3.616
39.719,3.931
39.720,4.323
39.465,3.853
39.720,3.277
39.719,3.338
39.716,3.364
39.718,3.353
39.719,3.359
39.717,3.330
39.717,3.382
39.719,3.416
39.718,3.295
39.717,3.020
39.715,3.525
39.720,3.557
39.715,3.321
39.716,3.395
39.719,3.920
39.721,3.879
39.715,3.955
39.717,3.312
39.722,3.408
39.723,3.382
39.717,3.426
39.720,3.504
39.722,3.347
39.722,3.312
39.717,3.321
39.720,3.339
39.717,3.314
39.722,3.369
39.721,3.320
39.716,3.321
39.718,3.364
39.719,3.809
39.717,3.948
39.721,3.812
39.521,3.952
39.717,3.347
