rx,tx
26.238,1.269
25.831,1.191
24.792,0.983
25.602,1.178
26.472,1.181
25.590,1.319
25.598,1.191
25.840,1.185
25.985,1.136
25.110,1.169
26.543,1.207
28.190,1.198
28.078,1.174
28.535,1.146
28.118,1.323
27.250,1.183
20.582,1.171
22.425,1.123
22.111,1.148
20.809,1.272
21.002,1.161
20.978,1.183
23.552,1.145
26.874,1.237
28.448,1.159
28.522,1.141
28.564,1.147
24.599,1.160
24.935,1.285
21.049,1.160
27.449,1.180
26.206,1.153
26.180,1.157
25.543,1.329
25.827,1.155
25.882,1.174
26.751,1.132
25.988,1.171
26.717,1.178
25.956,1.222
25.797,1.290
26.827,1.186
27.353,1.140
28.233,1.171
28.847,1.118
26.920,1.167
28.410,1.258
26.299,1.157
26.170,1.186
26.186,1.174
25.880,1.168
25.851,1.192
25.811,1.302
26.092,1.174
25.273,1.111
21.288,1.180
21.225,1.181
21.177,1.227
21.265,1.191
22.175,1.297
21.320,1.159
21.145,1.176
20.847,1.183
26.682,1.141
28.758,1.319
28.577,1.166
28.990,1.162
25.750,1.140
23.099,1.154
21.850,1.280
23.038,1.166
23.112,1.171
23.056,1.174
26.396,1.245
28.929,1.161
28.708,1.123
28.420,1.208
23.963,1.146
26.462,1.285
25.970,1.191
25.901,1.159
26.985,1.178
27.476,1.315
27.808,1.157
27.755,1.166
26.592,1.154
28.707,1.288
28.797,1.161
28.487,1.166
28.308,1.163
28.820,1.160
28.157,1.326
28.090,1.166
28.227,1.164
28.536,1.166
21.535,1.154
25.642,1.248
20.777,1.161
22.391,1.164
24.595,1.183
