rx,tx
17.012,5.109
16.907,5.384
16.863,5.395
16.566,5.381
14.670,5.399
14.477,5.389
14.649,5.402
14.630,5.385
14.641,5.395
14.952,5.387
16.747,5.388
16.763,5.369
16.770,5.387
16.779,5.369
16.759,5.387
16.779,5.369
16.768,5.385
16.799,5.373
16.797,5.378
16.789,5.377
16.794,5.380
16.797,5.268
16.783,5.380
16.806,5.376
16.792,5.367
16.794,5.378
16.805,5.383
16.806,5.261
16.788,5.377
16.803,5.380
16.788,5.367
16.784,5.376
16.798,5.380
16.993,5.256
16.787,5.377
16.743,5.369
16.779,5.378
16.810,5.380
16.793,5.381
16.802,5.249
16.811,5.380
16.798,5.376
16.796,5.380
16.796,5.369
16.806,5.359
16.786,5.381
16.789,5.380
16.812,5.263
16.789,5.378
16.808,5.380
16.796,5.378
16.795,5.374
16.807,5.361
16.777,5.376
16.784,5.376
16.808,5.376
16.795,5.376
16.805,5.380
16.795,5.374
16.815,5.250
16.816,5.377
16.775,5.378
16.791,5.378
16.814,5.374
16.787,5.378
16.811,5.376
16.808,5.367
16.796,5.374
16.805,5.378
16.810,5.377
16.812,5.377
16.797,5.373
16.847,5.263
16.806,5.377
16.792,5.378
16.805,5.374
16.787,5.378
16.807,5.376
16.809,5.377
16.798,5.359
16.811,5.378
16.802,5.376
16.801,5.378
16.805,5.374
16.784,5.378
16.807,5.374
16.818,5.376
16.808,5.373
16.792,5.378
16.845,5.267
16.812,5.377
16.805,5.372
16.826,5.377
16.798,5.376
16.795,5.372
16.820,5.373
16.800,5.374
16.815,5.378
16.804,5.376
16.803,5.362
16.816,5.376
16.774,5.376
16.805,5.377
16.802,5.370
16.799,5.378
16.823,5.363
16.814,5.366
16.802,5.372
16.799,5.374
16.818,5.378
16.819,5.373
16.807,5.370
16.805,5.376
16.845,5.266
16.804,5.377
16.793,5.367
16.800,5.378
16.817,5.377
16.792,5.377
16.794,5.372
16.803,5.372
16.782,5.376
16.784,5.377
16.805,5.374
16.799,5.378
16.785,5.362
16.816,5.377
16.790,5.374
16.797,5.378
16.802,5.378
16.824,5.377
16.806,5.370
16.824,5.378
16.813,5.378
16.808,5.380
16.790,5.373
16.806,5.366
16.840,5.246
16.807,5.365
16.809,5.363
16.819,5.369
16.807,5.369
16.819,5.367
16.820,5.367
16.813,5.378
16.814,5.376
16.823,5.377
16.810,5.372
16.813,5.377
16.831,5.374
16.813,5.358
16.797,5.370
16.814,5.380
16.813,5.374
16.812,5.377
16.814,5.366
16.808,5.367
16.825,5.367
16.810,5.369
16.795,5.363
16.792,5.370
16.803,5.368
16.846,5.348
16.828,5.365
17.005,5.246
16.822,5.365
16.807,5.367
16.812,5.362
16.821,5.366
16.818,5.369
16.813,5.369
16.784,5.363
16.819,5.369
16.815,5.366
16.808,5.367
16.809,5.362
16.795,5.367
16.816,5.366
16.817,5.366
16.523,5.356
14.681,5.374
14.634,5.374
14.668,5.376
14.666,5.376
14.658,5.377
14.643,5.378
14.666,5.381
14.640,5.377
14.642,5.380
14.651,5.385
14.653,5.383
14.648,5.380
14.665,5.384
14.645,5.380
14.651,5.384
14.646,5.380
14.665,5.384
14.655,5.384
14.650,5.381
14.650,5.378
14.645,5.378
14.623,5.377
14.643,5.381
14.653,5.380
14.644,5.384
14.639,5.383
14.661,5.380
14.661,5.263
14.651,5.383
14.648,5.383
14.646,5.384
14.658,5.377
14.665,5.385
14.645,5.384
14.650,5.380
14.651,5.378
14.648,5.384
14.658,5.385
14.642,5.380
14.641,5.378
14.651,5.385
14.650,5.384
14.648,5.381
14.685,5.366
14.646,5.391
14.641,5.392
14.660,5.394
14.648,5.388
14.651,5.387
14.664,5.392
14.654,5.391
14.639,5.389
14.652,5.391
14.653,5.392
14.643,5.387
14.647,5.388
14.650,5.392
14.656,5.392
14.641,5.378
14.636,5.389
14.667,5.392
14.632,5.394
14.648,5.394
14.657,5.388
14.653,5.389
14.647,5.392
14.642,5.392
14.657,5.387
14.651,5.392
14.668,5.391
14.644,5.392
14.645,5.389
14.665,5.394
14.639,5.392
14.656,5.388
14.649,5.389
14.655,5.392
14.658,5.394
14.654,5.389
14.646,5.388
14.656,5.391
14.650,5.394
14.648,5.384
14.651,5.388
14.644,5.391
14.648,5.392
14.667,5.394
14.658,5.387
14.658,5.391
15.767,4.983
15.256,5.334
15.265,5.333
15.223,5.336
14.552,5.224
14.432,5.341
14.426,5.340
14.434,5.344
14.466,5.373
14.658,5.394
14.640,5.389
14.649,5.396
15.022,5.260
15.267,5.333
15.280,5.331
15.256,5.328
14.679,5.332
14.445,5.345
14.429,5.340
14.432,5.343
14.444,5.371
14.633,5.385
14.640,5.391
14.652,5.394
14.641,5.395
14.659,5.395
15.454,5.015
15.208,5.332
15.268,5.338
15.275,5.334
15.028,5.321
