rx,tx
39.644,3.822
39.711,4.002
39.706,3.966
39.669,3.944
39.658,3.989
39.698,4.169
39.716,3.989
39.713,3.981
39.711,3.989
39.699,3.618
39.704,3.962
39.711,3.920
39.669,3.905
39.715,3.905
39.704,3.850
39.679,3.913
39.714,4.159
39.700,3.937
39.704,3.963
39.678,4.212
39.689,3.873
39.706,4.002
39.713,3.903
39.659,4.145
39.672,3.946
39.629,3.488
39.636,3.926
39.678,3.862
39.623,3.933
39.687,4.202
39.680,3.982
39.454,3.880
39.652,3.807
39.707,3.852
39.667,4.237
39.676,3.797
39.690,3.910
39.668,3.939
39.710,3.990
39.694,3.957
38.922,4.014
38.525,4.103
39.936,3.841
39.697,3.887
39.705,3.982
39.706,3.935
39.698,3.952
39.708,4.050
39.693,4.117
39.660,4.021
39.691,3.887
39.696,3.892
39.466,3.449
39.705,3.640
39.677,4.105
39.693,4.113
39.712,3.972
39.713,4.019
39.698,4.075
39.649,4.450
39.663,4.199
39.690,4.192
39.698,4.249
39.707,4.109
39.713,4.188
39.691,3.281
39.574,4.128
39.711,4.117
39.510,4.237
39.682,4.152
39.801,4.186
39.708,4.144
39.694,4.066
39.705,4.090
39.682,4.224
39.670,3.926
39.645,3.887
39.680,4.151
39.660,3.765
39.684,4.153
39.678,4.096
39.680,4.082
39.662,4.163
39.686,4.205
39.654,4.131
39.674,4.254
39.635,3.905
39.690,4.104
39.694,4.076
39.694,4.132
39.711,4.080
39.688,4.183
39.652,4.215
39.683,4.183
39.691,4.159
39.688,7.250
39.644,15.421
39.640,10.259
39.605,10.537
39.620,10.112
