rx,tx
7.407,0.304
27.877,1.973
27.369,2.141
28.082,1.431
28.132,1.056
27.457,1.022
28.381,1.125
27.728,1.434
28.164,1.753
28.201,1.257
27.264,2.244
28.072,1.207
28.481,1.896
27.335,4.928
27.445,5.589
28.461,4.945
27.670,4.573
27.287,3.250
28.388,2.297
28.131,2.130
28.067,2.154
28.213,1.733
27.611,3.081
27.744,1.973
28.064,2.192
28.522,1.981
27.899,1.514
27.297,1.485
28.445,1.334
28.443,1.444
28.110,1.927
28.372,1.542
27.502,3.956
28.272,4.494
28.722,4.981
27.225,5.891
27.735,6.205
27.744,4.088
28.364,1.339
29.202,1.871
27.690,1.571
27.482,2.061
28.764,1.589
28.739,2.084
27.569,2.134
28.122,1.591
28.134,1.617
27.853,1.851
27.992,1.787
27.907,1.920
26.836,1.724
28.197,2.756
27.278,3.472
28.745,5.221
27.017,6.099
27.211,5.313
27.485,5.709
27.296,6.001
27.670,5.512
27.780,4.910
27.939,1.583
28.728,1.112
27.815,1.392
28.195,2.139
27.937,1.954
27.941,1.665
28.050,1.683
28.107,2.215
28.439,1.921
28.168,1.675
28.105,1.420
28.183,1.489
28.267,1.766
28.561,1.228
28.111,2.610
27.792,2.929
28.460,3.187
27.744,3.979
27.506,3.352
28.356,3.322
28.321,3.227
27.800,3.745
27.663,4.182
27.929,3.047
28.462,2.370
27.848,1.448
28.558,1.101
28.159,1.203
27.558,1.186
27.425,1.174
28.076,0.999
27.496,1.112
26.954,2.033
27.143,2.159
28.272,1.915
28.700,1.289
28.278,1.676
28.977,1.841
27.858,3.818
27.999,3.218
28.624,3.057
27.881,3.745
27.254,4.107
27.304,3.940
27.885,4.133
27.416,4.142
27.318,4.066
27.958,3.646
27.669,4.287
27.844,4.272
27.919,3.006
28.181,1.987
27.738,1.352
28.089,1.211
27.378,1.325
27.846,1.395
28.942,1.335
27.405,4.311
27.352,7.296
26.832,7.954
27.585,5.988
28.223,5.287
27.452,4.719
27.628,5.038
27.850,4.785
26.043,6.867
27.766,7.425
28.001,7.194
27.856,7.631
26.916,7.830
27.515,7.763
26.401,7.579
26.466,7.813
26.609,7.790
26.960,7.121
28.146,5.481
28.247,4.703
28.157,5.026
27.089,5.810
27.271,5.241
27.020,4.947
27.353,4.764
26.582,4.976
26.660,4.982
26.128,6.375
25.506,1.741
25.444,1.074
25.438,1.069
25.454,1.074
25.504,1.140
25.472,1.234
26.477,1.361
25.460,1.393
26.087,1.094
26.144,1.000
26.062,0.613
25.378,0.932
26.709,0.915
29.465,0.975
29.514,1.072
29.558,1.074
29.545,1.086
29.523,1.089
29.545,1.081
29.532,1.081
29.523,1.089
29.586,1.091
27.981,1.154
29.584,1.248
29.535,1.426
28.733,1.234
29.573,1.061
29.588,1.066
29.593,1.079
29.563,1.067
29.462,1.072
29.464,1.069
29.453,1.072
29.477,1.072
29.629,1.050
29.471,1.072
29.492,0.841
29.481,1.067
29.520,1.072
29.923,1.181
30.894,1.454
31.469,1.132
31.329,1.174
31.239,1.069
31.135,1.067
31.017,1.052
27.111,1.146
27.134,0.854
29.408,1.051
29.413,1.081
29.474,1.096
29.504,1.142
29.505,1.098
29.553,1.111
28.579,1.120
25.630,1.112
25.650,1.208
25.475,1.312
26.807,1.295
25.567,1.171
25.572,1.129
25.495,1.120
25.325,1.118
25.398,1.108
25.413,1.096
25.418,1.108
27.886,1.085
29.623,0.839
29.563,1.106
29.509,1.125
29.844,1.108
29.535,1.106
29.565,1.123
29.741,1.217
29.563,1.242
29.153,1.272
26.759,1.152
26.060,1.115
26.033,1.111
26.090,1.062
26.083,1.016
26.078,0.989
29.973,1.021
31.051,0.979
31.082,0.992
30.466,1.007
29.717,0.989
29.582,1.006
27.700,0.994
29.607,0.949
25.304,1.033
25.997,1.114
27.617,1.070
29.337,1.132
28.816,0.869
25.473,0.977
26.105,0.951
25.522,1.006
25.563,0.994
25.555,0.972
25.411,0.982
28.608,1.034
30.965,0.994
30.911,1.018
30.935,0.998
31.601,1.029
30.913,1.028
30.958,0.989
30.947,1.115
30.919,1.166
30.699,1.193
31.030,1.351
30.835,1.195
30.960,1.147
30.972,1.004
31.002,1.004
30.997,1.011
31.015,0.997
30.991,1.004
30.939,1.052
30.776,0.988
29.715,0.984
29.715,0.987
29.722,0.993
29.709,0.983
29.699,0.955
29.675,0.975
29.762,0.946
29.791,1.050
29.955,1.090
26.318,1.054
25.308,1.155
25.305,1.149
25.315,1.149
26.347,1.252
25.278,1.185
25.296,1.152
25.821,0.971
25.425,0.951
25.486,0.950
25.389,0.931
25.439,0.827
25.501,0.938
25.467,0.946
28.440,0.909
30.074,0.894
25.512,0.932
27.017,0.907
25.546,0.950
25.555,0.948
27.575,0.994
25.560,1.118
25.502,1.106
29.158,1.083
29.623,1.178
29.588,1.198
29.562,1.368
29.568,1.193
29.533,1.145
29.451,0.975
29.451,0.984
30.304,1.016
29.724,0.994
29.889,0.992
30.516,1.011
29.570,0.993
29.265,0.993
29.216,0.948
25.343,0.989
25.969,0.934
26.065,0.945
25.353,0.867
25.413,1.210
26.153,1.164
25.336,1.164
25.220,1.181
25.311,1.188
25.306,1.194
25.316,1.359
25.285,1.191
25.401,1.091
25.914,1.000
30.036,0.987
29.494,1.004
29.467,1.016
29.457,0.994
29.523,0.975
29.659,0.980
29.264,0.987
29.484,0.971
29.583,0.997
29.699,0.982
29.694,0.972
29.688,0.982
29.732,1.065
29.653,1.203
29.133,1.152
29.377,1.191
29.570,1.193
29.760,1.290
29.931,1.011
28.790,0.969
29.583,0.994
29.528,0.990
29.717,0.832
29.414,1.026
29.745,1.000
29.768,0.982
29.756,0.980
29.769,0.984
29.714,0.989
29.718,1.048
29.746,0.999
29.728,1.038
29.674,1.172
29.385,1.157
31.358,1.200
31.106,1.186
31.095,1.193
31.048,1.077
31.101,0.997
31.085,0.972
29.415,1.011
30.225,1.003
30.225,0.982
30.067,1.012
30.059,0.988
29.949,0.989
29.938,0.989
29.937,0.980
29.907,0.983
30.011,1.016
29.810,0.836
29.905,1.187
29.712,1.334
28.165,1.203
31.090,1.189
31.149,1.203
31.185,1.043
29.695,0.973
28.384,1.004
29.589,1.004
30.355,1.012
30.826,1.021
30.860,1.023
29.991,1.001
29.593,0.993
29.619,0.997
29.589,0.997
29.576,1.004
29.582,1.001
28.950,1.004
28.504,1.031
27.602,1.099
26.560,1.097
29.795,1.188
30.381,1.352
29.401,1.198
29.446,1.229
29.453,1.195
29.564,1.113
29.601,0.999
29.712,1.010
29.482,0.995
29.643,0.995
29.654,1.003
29.538,0.986
29.523,0.994
29.558,0.981
29.434,0.990
29.601,0.980
29.683,0.980
29.688,1.038
30.507,0.984
31.111,1.031
30.973,1.154
31.389,1.152
31.427,1.109
31.361,0.995
30.702,0.963
30.618,0.978
31.337,0.991
30.407,1.021
31.155,0.998
30.636,0.988
30.727,0.997
31.113,1.021
31.541,0.951
30.650,1.145
30.859,1.039
31.634,1.018
31.152,1.215
30.930,1.193
31.102,1.217
31.997,1.140
30.844,1.290
30.731,1.268
31.140,1.103
30.673,1.009
29.614,1.068
29.623,1.023
29.533,1.011
29.458,1.085
30.846,1.026
30.778,1.087
26.106,0.844
25.346,1.035
25.354,1.055
25.374,1.060
25.372,1.077
25.419,1.154
26.146,1.224
29.591,1.151
29.214,1.420
30.799,1.254
30.762,1.263
30.786,1.200
30.948,1.048
30.916,1.113
30.880,1.048
30.927,1.040
31.366,1.055
30.995,1.045
31.016,1.045
30.993,1.060
30.999,1.052
30.905,1.052
30.861,1.060
30.870,1.050
30.908,1.018
30.919,1.028
30.918,1.089
30.885,1.198
30.870,1.227
30.976,1.319
31.188,1.448
31.035,1.251
31.230,1.240
31.237,1.238
31.199,1.268
31.112,1.336
31.294,1.040
31.244,1.023
31.279,1.057
31.820,0.952
25.943,1.033
27.565,1.010
29.677,0.827
30.668,0.609
30.415,1.100
25.438,0.997
25.474,1.016
26.623,1.023
25.709,1.014
25.666,1.094
25.506,1.234
26.546,1.220
25.510,1.290
