rx,tx
24.891,0.590
24.829,0.619
24.947,0.592
24.898,0.603
24.944,0.595
24.848,0.606
25.108,0.582
24.823,0.615
24.614,0.694
25.033,0.606
25.045,0.612
24.919,0.612
24.943,0.606
24.624,0.715
24.760,0.756
24.712,0.676
24.785,0.666
25.198,0.624
24.693,0.693
24.840,0.622
24.825,0.628
24.908,0.622
24.885,0.622
24.823,0.644
24.707,0.699
25.102,0.614
25.216,0.591
24.801,0.641
24.920,0.614
25.399,0.468
24.176,0.840
24.694,0.721
24.703,0.787
25.152,0.691
25.098,0.626
25.042,0.661
25.125,0.637
24.884,0.619
24.727,0.674
25.405,0.475
24.900,0.626
24.883,0.640
25.085,0.638
25.395,0.621
24.976,0.621
24.878,0.634
24.808,0.639
24.755,0.703
24.887,0.694
24.361,0.652
25.108,0.668
25.264,0.595
25.127,0.627
25.085,0.595
24.938,0.616
24.927,0.653
25.030,0.619
25.097,0.603
25.378,0.401
25.045,0.606
25.188,0.590
24.989,0.614
24.982,0.612
25.147,0.597
24.614,0.744
24.726,0.728
24.732,0.680
24.880,0.630
24.907,0.603
24.945,0.608
24.898,0.628
24.964,0.589
24.923,0.609
24.838,0.648
25.145,0.598
25.138,0.595
25.128,0.611
25.216,0.626
24.977,0.650
25.039,0.620
25.060,0.627
24.789,0.709
24.586,0.780
24.358,0.853
24.977,0.603
25.200,0.615
25.392,0.473
24.679,0.687
25.001,0.588
25.258,0.588
25.236,0.602
25.160,0.592
24.970,0.609
24.787,0.636
25.070,0.599
25.188,0.590
25.091,0.628
24.925,0.744
24.954,0.709
24.873,0.715
25.057,0.695
24.990,0.607
24.870,0.625
24.645,0.684
24.847,0.621
24.982,0.588
24.752,0.640
24.939,0.598
25.136,0.610
25.309,0.472
25.129,0.611
24.865,0.619
24.768,0.635
24.763,0.634
24.866,0.723
24.822,0.767
24.310,0.923
25.412,0.553
24.925,0.599
25.061,0.627
25.139,0.628
24.950,0.626
24.852,0.619
24.909,0.633
24.885,0.636
24.701,0.672
24.841,0.641
24.969,0.603
24.892,0.610
24.854,0.611
24.718,0.674
24.800,0.690
24.614,0.715
25.134,0.643
24.998,0.632
24.890,0.574
24.926,0.614
25.053,0.614
24.951,0.590
25.082,0.599
24.894,0.596
25.044,0.577
24.827,0.637
25.195,0.621
25.145,0.555
24.812,0.643
25.710,0.489
24.786,0.770
25.063,0.720
24.590,0.750
24.744,0.650
24.741,0.635
24.647,0.665
24.782,0.625
24.621,0.668
24.790,0.637
24.648,0.681
24.965,0.609
25.124,0.586
24.930,0.582
24.969,0.588
24.856,0.610
24.863,0.615
24.894,0.604
24.856,0.720
25.053,0.718
24.516,0.751
25.055,0.610
25.090,0.608
25.221,0.604
25.124,0.602
24.988,0.593
24.818,0.634
24.973,0.597
24.989,0.606
25.105,0.630
24.696,0.674
24.828,0.627
25.646,0.473
24.845,0.626
25.121,0.652
24.269,0.871
24.228,0.849
25.054,0.678
25.622,0.472
24.962,0.612
24.790,0.659
24.987,0.600
24.926,0.625
24.907,0.615
24.925,0.598
25.026,0.603
25.160,0.595
25.208,0.598
25.146,0.632
25.129,0.607
24.931,0.612
24.612,0.767
24.686,0.729
23.875,0.723
24.886,0.612
24.822,0.630
24.910,0.637
25.065,0.637
25.485,0.524
24.979,0.596
24.875,0.627
25.178,0.619
24.960,0.607
24.951,0.599
24.740,0.626
24.821,0.634
25.115,0.612
24.977,0.657
24.802,0.769
24.780,0.731
24.795,0.642
25.364,0.607
24.955,0.600
24.957,0.607
25.112,0.603
25.123,0.613
25.158,0.613
24.935,0.610
24.892,0.621
25.162,0.581
25.030,0.594
24.924,0.604
25.087,0.599
25.024,0.619
24.787,0.608
24.675,0.727
24.891,0.703
24.175,0.790
25.255,0.606
25.144,0.632
24.930,0.612
24.953,0.597
24.968,0.579
24.940,0.601
24.966,0.593
25.026,0.577
25.202,0.614
25.200,0.606
25.702,0.456
25.616,0.482
24.775,0.730
24.879,0.637
24.339,0.891
24.607,0.759
24.789,0.727
24.722,0.650
25.087,0.582
24.895,0.604
24.781,0.636
25.182,0.666
25.371,0.551
24.946,0.562
24.712,0.640
24.809,0.632
24.789,0.639
24.872,0.659
24.600,0.726
24.793,0.648
24.749,0.693
24.551,0.762
24.578,0.740
24.782,0.727
25.130,0.616
25.096,0.623
25.079,0.627
24.904,0.672
25.012,0.612
24.758,0.654
24.862,0.613
24.877,0.604
24.744,0.663
25.673,0.467
24.828,0.628
24.809,0.634
24.814,0.630
24.879,0.703
24.897,0.742
24.818,0.776
24.533,0.742
24.943,0.636
24.936,0.601
25.087,0.614
25.167,0.592
25.226,0.601
24.939,0.610
25.097,0.597
25.069,0.605
24.817,0.638
24.822,0.620
24.935,0.600
24.911,0.596
24.833,0.652
24.694,0.714
24.642,0.728
