preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
302.429,10.425,7.499,12.403,179.848,68.498,482.277
302.993,10.542,7.533,12.385,180.105,67.785,483.098
303.375,10.280,7.505,12.429,180.187,67.370,483.563
303.756,10.202,7.469,12.386,180.155,67.176,483.911
303.425,10.041,7.484,12.363,180.217,66.376,483.642
303.753,10.324,7.490,12.326,180.232,67.457,483.985
305.592,10.036,7.496,12.373,180.199,65.520,485.791
304.540,9.697,7.505,12.170,180.081,65.877,484.620
304.371,9.743,7.466,12.306,180.214,66.584,484.585
304.703,9.901,7.525,12.166,180.046,66.580,484.748
305.733,9.797,7.528,12.194,179.976,66.385,485.709
304.474,9.769,7.489,12.231,179.911,65.563,484.386
304.985,9.921,7.557,12.203,179.965,66.092,484.951
304.634,10.133,7.434,12.232,179.783,66.950,484.417
305.639,9.990,7.470,12.253,180.333,66.254,485.972
305.115,10.113,7.496,12.134,180.001,66.271,485.116
305.163,9.960,7.468,12.107,180.026,66.128,485.189
305.393,10.020,7.414,12.258,179.980,66.364,485.273
305.191,10.005,7.446,12.288,180.283,66.631,485.475
304.798,9.998,7.359,12.299,179.955,66.075,484.753
318.838,9.878,7.423,12.260,180.109,66.829,498.947
305.174,10.210,7.422,12.340,179.965,66.124,485.138
305.278,10.094,7.456,12.202,180.045,67.032,485.323
304.795,9.693,7.548,12.226,180.044,65.958,484.839
305.334,9.758,7.471,12.242,180.024,65.954,485.358
304.194,9.960,7.623,12.182,180.984,65.990,485.178
305.557,9.714,7.478,12.236,180.187,65.539,485.744
305.157,9.650,7.434,12.211,179.990,65.818,485.146
305.655,10.025,7.391,12.236,180.102,66.258,485.757
305.149,10.048,7.448,12.082,180.046,65.602,485.194
305.601,10.067,7.410,12.289,180.564,66.824,486.165
305.347,9.889,7.389,12.315,179.948,65.412,485.295
305.673,9.708,7.355,12.280,180.066,65.975,485.739
305.139,10.019,7.373,12.317,180.105,64.873,485.244
305.422,10.022,7.369,12.302,179.994,66.591,485.417
305.968,9.759,7.361,12.261,180.055,64.667,486.023
305.079,9.868,7.346,12.369,180.021,65.777,485.099
312.689,9.901,7.353,12.125,179.951,65.211,492.640
305.852,9.881,7.300,12.285,180.190,65.844,486.042
305.399,9.696,7.368,12.266,179.943,65.247,485.342
305.941,9.912,7.397,12.131,180.152,66.223,486.093
305.825,9.916,7.337,12.264,180.115,66.229,485.941
305.388,9.969,7.356,12.218,180.020,66.034,485.408
305.896,9.951,7.374,12.246,180.104,65.991,486.000
305.175,9.776,7.372,12.116,180.091,65.648,485.266
305.551,10.026,7.342,12.298,180.001,66.418,485.552
