preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
270.673,9.271,14.185,9.474,187.029,70.048,457.701
271.233,9.478,14.300,9.526,186.610,55.664,457.843
354.316,10.104,16.962,17.574,176.269,103.249,530.585
368.187,10.151,16.820,17.842,166.643,104.194,534.830
368.017,10.075,16.533,18.004,167.210,103.407,535.227
367.148,10.316,16.645,18.165,166.935,103.002,534.083
367.018,10.320,16.945,17.937,167.604,103.897,534.622
367.024,9.902,16.548,17.611,168.044,103.404,535.068
367.000,10.037,16.721,17.889,168.023,103.157,535.024
367.458,10.275,16.520,17.749,167.927,103.748,535.386
366.174,10.317,16.799,18.285,168.089,103.738,534.262
359.991,10.122,16.854,18.233,170.587,103.639,530.578
360.289,9.578,16.898,18.272,170.392,102.413,530.681
359.789,10.388,16.677,18.028,170.737,105.758,530.526
359.828,10.222,17.047,18.108,170.390,106.506,530.218
362.848,10.080,16.788,18.433,171.186,110.320,534.035
382.277,9.333,16.519,21.493,173.770,135.469,556.047
385.468,8.837,16.271,20.254,173.740,127.365,559.208
385.302,8.957,17.045,20.002,173.887,129.041,559.189
385.720,9.440,16.627,20.793,173.996,128.275,559.716
385.812,9.052,16.473,20.225,173.938,130.239,559.750
385.769,8.668,16.282,18.933,174.106,127.677,559.875
399.643,9.167,16.446,20.821,173.989,127.343,573.632
370.221,9.568,15.364,16.125,169.360,83.219,539.581
370.551,9.632,15.381,16.044,169.742,83.949,540.293
369.795,9.747,15.256,16.647,169.770,85.964,539.564
370.033,9.555,15.335,16.272,169.506,83.620,539.539
368.120,9.816,16.377,17.588,168.881,99.749,537.001
368.570,9.947,17.094,17.479,169.315,103.494,537.885
369.375,9.765,16.706,17.803,169.395,104.725,538.771
368.936,9.852,16.766,17.710,169.592,104.923,538.529
373.509,9.828,16.459,17.630,172.277,103.444,545.786
369.182,10.377,16.920,17.964,169.659,104.500,538.841
368.350,10.196,16.348,18.053,168.999,104.716,537.349
370.047,9.959,16.596,17.950,169.522,103.232,539.569
369.334,9.810,16.570,17.286,169.562,101.653,538.896
370.308,9.748,16.430,17.807,170.349,101.932,540.656
369.627,9.882,16.538,17.763,169.567,102.744,539.194
369.157,9.628,16.439,17.899,169.485,102.806,538.641
369.020,10.215,16.621,17.733,169.518,103.764,538.538
368.701,9.816,16.643,17.699,169.352,102.329,538.053
369.175,10.185,16.506,17.748,169.424,104.740,538.599
369.237,10.115,16.360,17.682,169.826,104.183,539.063
369.076,10.319,16.680,17.766,169.455,103.759,538.531
368.879,10.429,16.696,18.002,169.785,104.573,538.664
369.100,10.133,16.580,17.795,169.509,103.123,538.609
369.852,10.045,16.695,18.023,169.640,102.914,539.491
368.762,10.049,16.546,17.566,169.713,104.531,538.475
370.214,9.857,16.503,17.419,169.647,103.119,539.612
369.234,9.729,16.523,17.320,169.543,101.680,538.776
368.850,10.265,16.633,18.133,169.807,103.305,538.658
369.389,10.222,16.710,17.943,169.667,103.700,539.055
369.080,10.027,16.874,17.574,169.757,104.009,538.837
369.038,9.694,16.701,17.919,169.276,103.201,538.314
369.886,10.151,16.870,17.732,169.840,103.703,539.726
369.654,10.069,16.480,17.598,170.308,103.483,539.962
369.603,10.245,16.643,17.981,170.064,104.948,539.667
369.834,9.813,16.525,17.995,169.666,102.532,539.500
369.225,10.240,16.687,17.873,169.773,104.549,538.998
369.898,9.991,16.791,17.554,169.807,102.422,539.705
370.036,10.475,16.120,17.472,169.802,102.988,539.838
368.316,9.404,16.260,17.690,169.293,102.359,537.608
369.663,9.882,16.594,17.981,169.947,104.167,539.610
368.775,9.987,16.632,17.643,169.806,104.235,538.581
369.786,10.144,16.855,17.576,169.936,103.004,539.722
369.387,10.008,16.539,17.540,169.752,103.216,539.139
369.651,10.438,16.545,17.923,169.738,104.346,539.389
369.576,10.114,16.482,17.851,169.801,103.837,539.376
369.996,10.041,16.618,17.670,170.155,103.701,540.151
369.347,10.140,16.601,17.621,170.012,103.558,539.359
370.636,9.891,16.722,17.444,170.211,102.436,540.847
370.418,10.154,16.493,17.851,169.724,104.008,540.143
369.732,10.421,16.625,18.251,169.984,104.604,539.716
369.455,10.011,16.444,17.980,170.087,104.719,539.542
368.032,10.219,16.720,17.742,169.519,102.659,537.551
369.308,10.115,16.694,17.791,169.703,102.989,539.011
370.312,10.154,16.465,17.837,170.175,103.298,540.487
369.893,10.291,16.513,17.731,169.686,103.458,539.579
370.600,9.922,16.586,17.673,170.297,102.487,540.897
369.813,10.154,16.454,17.868,170.050,102.698,539.863
370.214,9.671,16.663,18.285,170.020,102.913,540.234
370.206,9.962,16.635,17.940,170.393,104.059,540.599
370.416,9.602,16.420,17.992,170.461,102.296,540.877
370.176,10.096,16.692,17.870,170.207,103.006,540.383
370.021,9.830,16.847,17.974,170.280,103.162,540.302
370.895,10.074,16.842,17.853,170.356,103.395,541.251
369.436,9.950,16.690,17.919,170.107,104.793,539.543
370.479,10.087,16.485,18.007,170.201,102.796,540.680
369.636,10.467,16.703,18.031,170.255,104.292,539.892
370.044,9.806,16.814,17.464,170.146,103.455,540.191
369.943,9.860,16.567,17.929,169.994,103.170,539.938
377.205,9.758,16.511,18.228,172.966,112.653,550.170
387.444,8.747,16.266,19.377,175.112,122.264,562.556
387.858,8.960,16.671,17.951,175.337,124.286,563.195
387.257,9.259,16.585,19.518,175.414,125.902,562.671
387.351,9.228,16.543,21.136,175.784,132.581,563.136
387.455,9.089,16.785,18.541,175.494,127.447,562.949
387.575,8.897,16.493,19.639,175.322,128.117,562.897
387.456,9.090,16.469,18.577,175.122,127.040,562.578
387.510,8.749,16.203,21.077,175.012,123.289,562.522
387.482,9.022,16.543,20.608,175.303,129.092,562.785
387.304,8.753,16.503,20.682,175.131,131.120,562.435
387.585,9.099,16.364,19.175,175.214,123.122,562.799
387.378,8.873,16.453,20.441,175.375,126.375,562.753
387.137,8.993,16.334,19.669,174.968,124.987,562.105
387.592,8.850,16.235,20.599,175.288,125.863,562.880
387.106,8.979,16.187,19.985,175.224,127.625,562.330
387.209,8.755,16.759,20.991,175.294,124.366,562.503
387.550,8.771,16.239,19.913,175.115,124.523,562.665
387.596,8.843,16.482,19.757,175.571,127.999,563.167
387.531,8.843,16.448,20.069,175.403,127.579,562.933
387.379,8.903,16.341,18.761,175.169,125.383,562.547
387.413,8.791,16.419,20.674,175.162,123.092,562.575
387.289,8.710,16.176,19.927,174.938,125.073,562.227
377.076,9.364,15.815,17.340,172.014,97.929,549.089
370.980,9.507,15.557,16.339,170.530,83.646,541.509
370.993,9.649,15.317,16.459,170.520,82.984,541.513
370.824,9.835,15.416,16.156,170.451,85.000,541.274
371.638,10.012,15.374,16.221,170.536,82.911,542.174
370.903,9.824,15.358,16.174,170.601,84.195,541.505
370.828,10.083,15.352,16.296,170.509,83.884,541.336
371.342,9.842,15.419,16.266,170.381,85.128,541.723
370.880,9.609,15.316,16.561,170.330,84.028,541.210
371.236,9.655,15.279,16.622,170.281,83.010,541.518
371.876,9.921,15.372,15.901,170.866,83.487,542.742
371.291,9.800,15.206,15.818,170.697,84.038,541.988
371.255,9.607,15.445,16.017,170.835,83.843,542.090
371.803,9.638,15.421,16.368,170.975,83.348,542.778
371.586,9.589,15.426,16.143,170.360,83.194,541.946
371.500,9.579,15.271,16.165,170.615,84.528,542.115
371.096,9.836,15.357,16.162,170.615,84.764,541.710
371.532,9.742,15.406,16.193,170.763,83.826,542.294
