preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
211.095,9.409,16.684,25.783,181.033,133.260,392.128
209.987,9.623,16.786,23.066,181.017,135.027,391.005
209.533,10.668,16.969,24.205,181.310,137.252,390.843
209.901,9.700,17.533,24.468,181.416,134.575,391.317
210.210,9.888,16.859,22.406,181.225,133.582,391.435
211.841,8.913,16.246,21.466,181.577,131.877,393.417
210.699,9.472,17.812,24.449,181.593,138.741,392.292
210.714,9.081,16.107,23.821,181.542,137.942,392.256
210.567,10.109,16.654,24.575,181.540,138.478,392.107
210.750,10.199,16.957,26.171,181.684,137.645,392.434
210.515,9.790,16.874,24.165,181.512,136.991,392.027
211.376,8.626,16.331,22.054,181.470,133.221,392.772
210.824,10.103,17.085,23.248,181.530,133.742,392.354
211.194,9.379,16.033,23.727,181.514,135.506,392.638
210.640,10.213,16.160,22.777,181.398,136.126,392.038
211.545,9.388,16.495,22.004,181.458,134.211,393.003
210.646,10.312,15.676,21.725,181.590,137.152,392.153
210.434,8.820,16.407,22.488,181.530,132.768,391.965
210.414,10.451,18.070,24.488,181.388,135.476,391.802
210.854,9.325,16.660,24.169,181.550,136.502,392.403
210.835,9.899,16.572,24.008,181.535,134.350,392.371
221.611,8.892,16.009,23.910,181.367,134.929,402.978
210.862,9.461,16.191,22.251,181.543,133.540,392.404
210.696,8.763,17.416,21.997,181.562,137.289,392.258
210.644,9.646,16.309,22.436,181.518,137.987,392.162
210.692,9.640,16.916,23.767,181.369,135.150,392.061
210.573,8.948,16.106,23.357,182.044,143.882,392.617
210.446,9.856,16.015,24.082,181.457,139.029,391.904
210.605,10.117,16.317,23.416,181.484,140.633,392.089
210.492,9.687,17.160,24.185,181.419,133.040,391.911
210.572,9.081,17.372,24.036,181.500,136.609,392.072
210.592,9.882,15.862,25.114,181.946,140.738,392.538
210.711,8.952,15.369,23.527,181.549,134.538,392.259
210.693,10.379,16.950,23.602,181.583,137.157,392.277
210.693,8.826,17.382,22.426,181.466,133.232,392.159
210.708,9.165,16.476,23.646,181.489,138.455,392.197
210.650,9.241,16.678,25.057,181.537,137.988,392.102
210.620,10.128,17.942,23.715,182.130,138.896,392.750
210.874,9.388,16.525,24.454,181.968,142.522,392.843
210.890,9.088,17.455,24.473,182.138,141.673,393.028
210.984,10.109,16.950,24.038,182.283,148.103,393.268
210.952,9.364,16.877,22.528,181.981,137.162,392.933
210.823,10.282,17.475,24.412,182.198,148.610,393.020
210.672,11.369,17.465,25.427,182.147,154.440,392.819
210.848,9.517,17.867,25.863,182.067,149.121,392.915
211.154,9.681,18.674,25.950,182.129,147.363,393.283
210.931,10.034,17.348,24.014,182.456,146.012,393.388
210.838,10.700,17.177,23.779,182.080,144.377,392.918
211.026,10.387,16.575,22.572,182.187,140.519,393.141
210.966,10.633,17.219,24.652,181.996,144.933,392.891
210.851,10.105,15.979,21.752,181.981,146.242,392.832
211.051,9.922,16.109,22.819,182.140,143.405,393.191
210.888,10.736,16.848,25.488,182.019,157.517,392.907
210.986,9.814,17.407,25.621,182.063,150.156,393.049
210.909,9.645,16.962,25.560,182.032,147.745,392.941
210.699,9.577,17.199,26.476,181.875,150.751,392.574
222.515,10.083,17.110,24.587,181.849,146.434,404.364
210.988,9.095,16.958,23.724,181.656,135.317,392.644
210.947,10.463,16.580,23.921,181.438,138.367,392.386
210.694,9.375,16.549,23.770,181.510,136.914,392.203
210.742,10.021,16.084,23.324,181.488,135.031,392.230
210.634,10.522,16.205,23.467,181.524,139.012,392.158
210.575,9.290,17.260,21.518,181.456,134.049,392.031
210.569,9.353,17.296,23.291,181.429,132.926,391.998
210.698,9.851,16.357,23.534,181.539,136.494,392.238
210.868,9.956,15.834,24.309,181.413,135.535,392.281
211.062,9.948,16.155,23.466,181.527,135.004,392.588
210.855,9.713,17.343,24.595,181.465,132.997,392.320
210.898,10.492,16.844,24.780,181.438,135.612,392.337
210.975,9.825,17.633,25.045,181.647,136.114,392.622
210.758,9.059,18.441,23.806,181.426,132.433,392.102
210.670,8.680,16.306,21.390,181.698,130.027,392.368
210.539,11.018,17.022,22.760,181.389,135.457,391.928
210.632,9.011,17.444,23.713,181.371,135.660,392.003
210.687,10.027,17.453,24.494,181.430,138.043,392.117
210.726,9.293,16.995,24.614,181.483,138.409,392.209
210.669,10.004,16.597,24.892,181.358,137.113,392.027
210.545,10.966,18.837,23.488,181.436,137.097,391.982
210.581,10.312,17.092,24.775,181.400,138.426,391.981
210.479,10.916,17.046,24.583,181.416,142.807,391.895
210.427,9.723,16.706,24.079,181.445,139.227,391.873
210.475,9.407,17.456,24.404,181.385,137.145,391.860
210.608,8.894,17.145,25.201,181.397,135.132,392.004
210.518,10.370,16.783,24.547,181.291,134.093,391.809
210.676,9.285,17.256,22.948,181.502,136.871,392.177
210.669,10.134,16.257,22.458,181.430,134.601,392.100
210.553,9.112,17.589,22.500,181.494,138.361,392.047
210.419,10.462,17.318,23.269,181.343,134.838,391.762
