preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
499.080,10.439,9.715,16.386,182.063,110.962,681.143
493.330,10.030,9.700,16.730,184.629,107.834,677.959
491.614,10.299,9.693,16.380,184.396,107.918,676.010
490.768,10.065,9.772,16.629,184.035,108.170,674.803
493.287,10.146,9.825,16.614,184.076,108.956,677.363
491.885,10.177,9.600,16.536,183.766,106.971,675.651
490.252,10.282,9.363,16.546,184.404,106.723,674.657
492.623,9.914,9.552,16.507,183.804,106.400,676.427
492.606,9.924,9.618,16.259,183.550,108.694,676.156
491.985,10.137,9.490,16.472,181.287,107.901,673.272
491.039,9.950,9.428,16.473,181.285,106.922,672.324
493.642,10.206,10.008,16.870,181.232,109.086,674.874
494.432,10.322,9.878,16.766,181.188,111.745,675.620
483.986,10.451,9.874,17.269,181.769,115.938,665.755
371.663,11.183,11.452,21.410,184.735,142.730,556.398
373.717,10.869,11.122,19.634,185.495,138.398,559.212
373.607,11.148,11.299,19.807,185.957,140.946,559.564
374.043,10.979,11.193,19.953,185.643,138.563,559.686
374.202,10.696,11.229,19.651,185.704,136.673,559.906
374.076,10.733,11.247,20.378,185.367,139.633,559.443
389.317,11.617,11.230,20.221,185.657,137.886,574.975
492.964,10.685,10.085,16.536,183.826,97.251,676.790
494.159,10.452,9.969,16.258,183.969,96.549,678.128
495.751,10.380,10.262,16.252,184.022,98.655,679.773
494.044,10.182,9.759,16.365,183.880,95.457,677.924
490.161,10.300,9.427,16.383,184.680,105.580,674.840
495.458,10.385,9.772,16.577,183.843,109.447,679.301
493.837,10.295,9.365,16.208,183.873,108.250,677.710
495.847,10.304,9.665,16.738,183.811,109.231,679.658
503.274,10.246,9.682,16.286,184.353,107.601,687.628
498.069,10.380,9.836,16.608,184.064,109.936,682.132
494.132,10.631,9.636,16.158,184.265,108.266,678.397
494.353,9.952,9.381,16.397,183.900,105.735,678.254
494.470,10.081,9.564,16.505,184.004,106.664,678.474
495.311,10.200,9.562,16.285,183.758,105.464,679.070
493.545,10.327,9.486,16.357,183.910,108.121,677.331
493.918,10.294,9.733,16.430,183.859,106.176,677.778
495.108,10.094,9.612,16.442,183.840,107.099,678.948
493.550,10.183,9.537,16.359,184.256,105.865,677.806
495.489,9.988,9.577,16.304,183.793,106.304,679.282
496.274,10.179,9.636,16.766,183.813,107.605,680.087
495.167,10.425,9.860,16.919,184.081,109.417,679.248
495.957,10.592,10.035,16.404,183.683,108.933,679.640
495.233,10.182,9.577,16.564,183.752,107.744,678.985
495.240,10.345,9.756,16.239,183.782,106.556,679.022
497.980,10.350,9.604,16.409,183.917,107.902,681.897
493.993,10.466,9.611,16.389,183.990,107.359,677.982
493.659,10.397,9.492,16.017,184.394,106.130,678.052
495.430,10.417,9.676,16.122,183.766,107.786,679.196
495.574,10.342,9.650,16.486,183.815,106.758,679.389
496.374,10.222,9.860,16.208,183.806,107.675,680.180
494.499,10.298,9.494,16.321,183.912,106.983,678.411
496.134,10.436,9.699,16.269,183.846,108.399,679.979
496.362,10.385,9.471,16.417,184.072,107.703,680.433
497.239,10.328,9.985,16.824,183.668,108.640,680.907
494.278,10.140,9.473,16.135,183.867,108.157,678.145
496.048,10.703,9.674,16.439,183.842,108.549,679.890
494.887,10.166,9.734,16.390,183.999,107.955,678.886
494.403,10.099,9.387,16.075,183.792,107.143,678.194
489.714,10.260,9.430,15.965,184.918,105.277,674.633
495.731,10.215,9.486,16.267,183.776,106.048,679.506
495.528,10.407,9.585,16.530,183.689,109.783,679.217
495.378,10.278,9.620,16.382,183.833,107.418,679.212
495.571,10.348,9.776,16.557,183.728,109.138,679.299
497.133,10.570,9.946,16.601,183.901,108.806,681.034
495.713,10.169,9.483,16.474,183.672,107.479,679.385
496.167,10.507,9.807,16.489,183.938,108.845,680.105
495.474,10.200,9.721,16.411,183.712,107.660,679.186
496.437,10.309,9.629,16.472,183.735,107.659,680.172
495.046,10.417,9.604,16.746,183.929,107.267,678.975
496.668,10.405,9.766,16.288,183.746,107.488,680.414
496.575,10.247,9.768,16.273,183.740,109.165,680.314
493.367,10.489,9.836,16.152,184.737,106.982,678.103
495.216,10.073,9.588,16.483,183.631,106.412,678.847
496.211,10.275,9.683,16.402,183.908,108.388,680.119
494.793,10.178,9.657,16.552,184.014,107.938,678.807
494.872,10.099,9.454,16.732,183.973,107.035,678.845
495.339,10.258,9.616,16.265,183.671,107.952,679.010
495.128,10.192,9.413,15.960,183.967,106.428,679.095
496.160,10.013,9.746,16.447,183.734,107.442,679.894
496.553,10.224,9.603,16.410,184.045,107.174,680.473
496.201,10.260,9.691,16.364,183.681,108.083,679.883
496.417,10.407,9.594,16.421,183.830,107.927,680.247
497.023,9.877,9.670,16.472,183.938,106.445,680.961
495.834,10.536,9.702,16.740,183.608,109.370,679.442
