preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
0.000,0.000,0.000,0.000,0.000,0.000,325.278
0.000,0.000,0.000,0.000,0.000,0.000,328.649
0.000,0.000,0.000,0.000,0.000,0.000,375.255
0.000,0.000,0.000,0.000,0.000,0.000,373.329
0.000,0.000,0.000,0.000,0.000,0.000,369.349
0.000,0.000,0.000,0.000,0.000,0.000,369.411
0.000,0.000,0.000,0.000,0.000,0.000,370.031
0.000,0.000,0.000,0.000,0.000,0.000,372.649
0.000,0.000,0.000,0.000,0.000,0.000,367.953
0.000,0.000,0.000,0.000,0.000,0.000,368.013
0.000,0.000,0.000,0.000,0.000,0.000,367.332
0.000,0.000,0.000,0.000,0.000,0.000,367.712
0.000,0.000,0.000,0.000,0.000,0.000,367.368
0.000,0.000,0.000,0.000,0.000,0.000,367.658
0.000,0.000,0.000,0.000,0.000,0.000,367.669
0.000,0.000,0.000,0.000,0.000,0.000,368.023
0.000,0.000,0.000,0.000,0.000,0.000,367.615
0.000,0.000,0.000,0.000,0.000,0.000,367.365
0.000,0.000,0.000,0.000,0.000,0.000,366.056
0.000,0.000,0.000,0.000,0.000,0.000,366.133
0.000,0.000,0.000,0.000,0.000,0.000,366.102
0.000,0.000,0.000,0.000,0.000,0.000,367.012
0.000,0.000,0.000,0.000,0.000,0.000,367.479
0.000,0.000,0.000,0.000,0.000,0.000,377.207
0.000,0.000,0.000,0.000,0.000,0.000,367.786
0.000,0.000,0.000,0.000,0.000,0.000,366.706
0.000,0.000,0.000,0.000,0.000,0.000,366.495
0.000,0.000,0.000,0.000,0.000,0.000,367.344
0.000,0.000,0.000,0.000,0.000,0.000,366.574
0.000,0.000,0.000,0.000,0.000,0.000,367.225
0.000,0.000,0.000,0.000,0.000,0.000,367.571
0.000,0.000,0.000,0.000,0.000,0.000,367.720
0.000,0.000,0.000,0.000,0.000,0.000,367.441
0.000,0.000,0.000,0.000,0.000,0.000,366.839
0.000,0.000,0.000,0.000,0.000,0.000,366.931
0.000,0.000,0.000,0.000,0.000,0.000,366.694
0.000,0.000,0.000,0.000,0.000,0.000,366.720
0.000,0.000,0.000,0.000,0.000,0.000,366.452
0.000,0.000,0.000,0.000,0.000,0.000,366.650
0.000,0.000,0.000,0.000,0.000,0.000,365.271
0.000,0.000,0.000,0.000,0.000,0.000,359.650
0.000,0.000,0.000,0.000,0.000,0.000,359.417
0.000,0.000,0.000,0.000,0.000,0.000,359.287
0.000,0.000,0.000,0.000,0.000,0.000,361.520
0.000,0.000,0.000,0.000,0.000,0.000,359.694
0.000,0.000,0.000,0.000,0.000,0.000,358.149
0.000,0.000,0.000,0.000,0.000,0.000,359.720
0.000,0.000,0.000,0.000,0.000,0.000,360.943
0.000,0.000,0.000,0.000,0.000,0.000,360.055
0.000,0.000,0.000,0.000,0.000,0.000,359.535
0.000,0.000,0.000,0.000,0.000,0.000,360.404
0.000,0.000,0.000,0.000,0.000,0.000,360.419
0.000,0.000,0.000,0.000,0.000,0.000,360.471
0.000,0.000,0.000,0.000,0.000,0.000,360.125
0.000,0.000,0.000,0.000,0.000,0.000,360.254
0.000,0.000,0.000,0.000,0.000,0.000,360.187
0.000,0.000,0.000,0.000,0.000,0.000,360.153
0.000,0.000,0.000,0.000,0.000,0.000,359.514
0.000,0.000,0.000,0.000,0.000,0.000,374.385
0.000,0.000,0.000,0.000,0.000,0.000,368.838
0.000,0.000,0.000,0.000,0.000,0.000,368.047
0.000,0.000,0.000,0.000,0.000,0.000,367.246
0.000,0.000,0.000,0.000,0.000,0.000,366.734
0.000,0.000,0.000,0.000,0.000,0.000,366.807
0.000,0.000,0.000,0.000,0.000,0.000,366.563
0.000,0.000,0.000,0.000,0.000,0.000,366.475
0.000,0.000,0.000,0.000,0.000,0.000,366.671
0.000,0.000,0.000,0.000,0.000,0.000,367.700
0.000,0.000,0.000,0.000,0.000,0.000,368.098
0.000,0.000,0.000,0.000,0.000,0.000,367.635
0.000,0.000,0.000,0.000,0.000,0.000,368.597
0.000,0.000,0.000,0.000,0.000,0.000,367.987
0.000,0.000,0.000,0.000,0.000,0.000,366.956
0.000,0.000,0.000,0.000,0.000,0.000,367.414
0.000,0.000,0.000,0.000,0.000,0.000,367.395
0.000,0.000,0.000,0.000,0.000,0.000,367.732
0.000,0.000,0.000,0.000,0.000,0.000,367.945
0.000,0.000,0.000,0.000,0.000,0.000,367.710
0.000,0.000,0.000,0.000,0.000,0.000,367.969
0.000,0.000,0.000,0.000,0.000,0.000,367.580
0.000,0.000,0.000,0.000,0.000,0.000,367.672
0.000,0.000,0.000,0.000,0.000,0.000,367.843
0.000,0.000,0.000,0.000,0.000,0.000,367.494
0.000,0.000,0.000,0.000,0.000,0.000,367.305
0.000,0.000,0.000,0.000,0.000,0.000,367.439
0.000,0.000,0.000,0.000,0.000,0.000,367.447
0.000,0.000,0.000,0.000,0.000,0.000,368.309
0.000,0.000,0.000,0.000,0.000,0.000,367.905
0.000,0.000,0.000,0.000,0.000,0.000,367.457
0.000,0.000,0.000,0.000,0.000,0.000,367.461
0.000,0.000,0.000,0.000,0.000,0.000,367.582
0.000,0.000,0.000,0.000,0.000,0.000,367.616
0.000,0.000,0.000,0.000,0.000,0.000,362.769
0.000,0.000,0.000,0.000,0.000,0.000,360.829
0.000,0.000,0.000,0.000,0.000,0.000,360.654
0.000,0.000,0.000,0.000,0.000,0.000,360.580
0.000,0.000,0.000,0.000,0.000,0.000,360.839
0.000,0.000,0.000,0.000,0.000,0.000,360.482
0.000,0.000,0.000,0.000,0.000,0.000,360.324
0.000,0.000,0.000,0.000,0.000,0.000,360.332
0.000,0.000,0.000,0.000,0.000,0.000,360.465
0.000,0.000,0.000,0.000,0.000,0.000,360.213
0.000,0.000,0.000,0.000,0.000,0.000,360.751
0.000,0.000,0.000,0.000,0.000,0.000,360.529
0.000,0.000,0.000,0.000,0.000,0.000,360.514
0.000,0.000,0.000,0.000,0.000,0.000,360.353
0.000,0.000,0.000,0.000,0.000,0.000,361.032
0.000,0.000,0.000,0.000,0.000,0.000,360.507
0.000,0.000,0.000,0.000,0.000,0.000,359.476
0.000,0.000,0.000,0.000,0.000,0.000,359.883
0.000,0.000,0.000,0.000,0.000,0.000,359.631
0.000,0.000,0.000,0.000,0.000,0.000,359.441
0.000,0.000,0.000,0.000,0.000,0.000,359.742
0.000,0.000,0.000,0.000,0.000,0.000,359.339
0.000,0.000,0.000,0.000,0.000,0.000,359.461
0.000,0.000,0.000,0.000,0.000,0.000,359.300
0.000,0.000,0.000,0.000,0.000,0.000,359.555
0.000,0.000,0.000,0.000,0.000,0.000,359.384
0.000,0.000,0.000,0.000,0.000,0.000,358.432
0.000,0.000,0.000,0.000,0.000,0.000,359.167
0.000,0.000,0.000,0.000,0.000,0.000,359.745
0.000,0.000,0.000,0.000,0.000,0.000,359.623
0.000,0.000,0.000,0.000,0.000,0.000,359.250
0.000,0.000,0.000,0.000,0.000,0.000,360.253
0.000,0.000,0.000,0.000,0.000,0.000,360.273
0.000,0.000,0.000,0.000,0.000,0.000,360.116
0.000,0.000,0.000,0.000,0.000,0.000,359.212
0.000,0.000,0.000,0.000,0.000,0.000,359.154
0.000,0.000,0.000,0.000,0.000,0.000,358.897
0.000,0.000,0.000,0.000,0.000,0.000,359.453
0.000,0.000,0.000,0.000,0.000,0.000,360.491
0.000,0.000,0.000,0.000,0.000,0.000,359.741
0.000,0.000,0.000,0.000,0.000,0.000,360.448
0.000,0.000,0.000,0.000,0.000,0.000,360.225
0.000,0.000,0.000,0.000,0.000,0.000,360.147
0.000,0.000,0.000,0.000,0.000,0.000,360.160
0.000,0.000,0.000,0.000,0.000,0.000,359.578
0.000,0.000,0.000,0.000,0.000,0.000,358.962
0.000,0.000,0.000,0.000,0.000,0.000,359.534
0.000,0.000,0.000,0.000,0.000,0.000,359.115
0.000,0.000,0.000,0.000,0.000,0.000,358.347
0.000,0.000,0.000,0.000,0.000,0.000,359.279
0.000,0.000,0.000,0.000,0.000,0.000,359.944
0.000,0.000,0.000,0.000,0.000,0.000,359.798
0.000,0.000,0.000,0.000,0.000,0.000,359.864
0.000,0.000,0.000,0.000,0.000,0.000,359.276
0.000,0.000,0.000,0.000,0.000,0.000,359.079
0.000,0.000,0.000,0.000,0.000,0.000,359.470
0.000,0.000,0.000,0.000,0.000,0.000,359.788
0.000,0.000,0.000,0.000,0.000,0.000,358.167
0.000,0.000,0.000,0.000,0.000,0.000,357.862
0.000,0.000,0.000,0.000,0.000,0.000,357.906
0.000,0.000,0.000,0.000,0.000,0.000,358.567
0.000,0.000,0.000,0.000,0.000,0.000,359.119
0.000,0.000,0.000,0.000,0.000,0.000,359.488
0.000,0.000,0.000,0.000,0.000,0.000,359.267
0.000,0.000,0.000,0.000,0.000,0.000,358.653
0.000,0.000,0.000,0.000,0.000,0.000,358.498
0.000,0.000,0.000,0.000,0.000,0.000,358.653
0.000,0.000,0.000,0.000,0.000,0.000,359.486
0.000,0.000,0.000,0.000,0.000,0.000,359.181
0.000,0.000,0.000,0.000,0.000,0.000,358.857
0.000,0.000,0.000,0.000,0.000,0.000,359.785
0.000,0.000,0.000,0.000,0.000,0.000,359.176
0.000,0.000,0.000,0.000,0.000,0.000,359.520
0.000,0.000,0.000,0.000,0.000,0.000,358.234
0.000,0.000,0.000,0.000,0.000,0.000,358.977
0.000,0.000,0.000,0.000,0.000,0.000,359.200
0.000,0.000,0.000,0.000,0.000,0.000,360.183
0.000,0.000,0.000,0.000,0.000,0.000,359.984
0.000,0.000,0.000,0.000,0.000,0.000,359.072
0.000,0.000,0.000,0.000,0.000,0.000,359.612
0.000,0.000,0.000,0.000,0.000,0.000,358.859
