preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
2453.832,10.170,17.127,24.398,182.092,152.763,2635.924
210.453,7.845,14.696,17.634,182.397,117.792,392.850
210.870,7.599,14.353,17.018,182.299,114.034,393.169
211.298,7.779,15.092,17.234,182.581,112.850,393.878
211.188,7.783,14.762,17.711,182.608,115.840,393.796
209.787,8.492,14.638,16.826,183.053,115.842,392.840
209.614,7.115,14.223,16.232,183.301,113.040,392.915
209.861,7.736,14.680,16.849,183.104,114.531,392.965
209.781,7.480,14.688,15.879,183.148,114.209,392.929
210.072,7.560,14.451,16.726,183.215,117.852,393.287
210.880,8.166,14.449,15.719,183.048,114.594,393.927
209.789,7.858,14.833,16.321,183.085,116.136,392.874
209.988,7.978,14.583,16.727,183.179,113.718,393.167
209.752,8.160,14.501,15.142,183.057,113.670,392.809
209.995,7.001,14.711,17.458,183.135,113.700,393.130
209.938,7.653,14.540,17.385,183.165,114.011,393.103
216.143,7.539,14.454,17.099,183.098,114.421,399.241
210.044,7.813,13.968,17.683,183.193,115.630,393.237
209.714,7.942,14.490,17.995,183.282,117.672,392.997
210.125,7.535,14.301,16.055,183.189,116.527,393.313
209.736,7.145,14.881,16.688,183.032,113.448,392.768
211.843,7.728,14.894,16.558,184.304,124.338,396.073
211.470,7.697,15.091,15.857,183.470,112.937,394.855
209.653,7.289,14.694,17.815,183.179,118.104,392.832
209.511,7.033,14.829,16.667,183.001,112.975,392.512
220.678,7.672,14.285,16.567,183.033,114.695,403.636
209.647,7.821,14.412,17.771,183.311,115.490,392.958
209.584,7.168,14.853,17.392,183.117,115.446,392.701
209.632,7.206,14.207,16.978,183.051,114.816,392.682
209.544,7.192,14.352,18.371,183.069,115.183,392.612
209.558,7.283,14.847,17.823,183.083,113.609,392.641
209.628,7.883,14.684,17.146,183.139,113.039,392.768
213.661,7.035,15.348,14.667,183.818,111.329,397.479
214.249,8.074,14.987,15.412,183.552,114.049,397.801
214.185,7.398,14.328,15.731,183.621,112.615,397.733
214.209,7.938,14.326,14.644,183.515,112.083,397.724
214.072,7.492,14.654,15.466,183.525,115.640,397.597
214.223,8.392,14.418,15.699,183.498,113.158,397.721
214.230,7.821,15.057,15.145,183.459,113.119,397.689
214.194,7.687,14.374,14.887,183.502,111.970,397.696
214.204,7.741,14.494,16.469,183.461,113.498,397.665
214.029,8.028,14.958,16.549,183.396,114.359,397.425
212.206,8.592,14.189,17.144,182.767,124.347,394.973
211.900,7.344,14.683,16.472,182.468,111.590,394.368
212.238,7.435,14.579,16.622,182.489,113.688,394.727
209.827,8.162,14.186,18.399,183.061,119.292,392.888
209.790,7.559,14.277,19.044,183.117,113.907,392.907
209.952,7.512,14.736,17.704,183.112,118.311,393.065
209.792,7.276,14.722,16.756,183.021,113.224,392.813
210.016,7.505,15.695,16.801,183.127,114.489,393.143
209.823,7.242,14.872,17.584,182.885,113.802,392.708
209.842,7.264,15.189,16.265,183.336,112.388,393.178
209.879,7.749,14.535,16.766,183.077,113.623,392.956
209.922,8.394,14.715,17.668,183.106,114.132,393.027
209.943,8.352,14.567,16.577,183.128,115.483,393.071
209.851,7.768,15.140,17.058,183.141,115.002,392.992
209.871,6.946,15.405,16.245,182.996,111.384,392.796
209.908,7.152,14.505,17.650,183.082,113.889,392.990
209.854,7.691,14.105,16.281,183.162,112.558,393.017
209.851,7.410,14.568,17.132,183.081,115.115,392.932
210.026,7.444,14.136,16.198,183.086,115.356,393.112
209.888,7.392,14.845,18.516,183.108,113.916,392.996
209.961,7.840,14.586,17.529,183.053,114.194,393.014
210.075,7.487,14.841,17.937,183.181,116.032,393.256
209.824,8.009,14.507,18.335,183.117,115.751,392.869
209.892,7.482,14.674,16.591,183.051,115.354,392.943
209.893,7.440,14.599,16.791,183.211,113.287,393.104
209.816,8.261,14.620,17.250,183.119,114.539,392.935
209.796,7.352,14.414,16.804,183.031,113.975,392.827
221.175,8.229,14.640,17.055,183.122,114.870,404.297
209.898,8.236,14.549,16.397,183.079,114.260,392.977
209.835,7.665,14.587,15.675,183.189,112.986,393.024
209.778,7.142,14.806,17.028,183.053,114.328,392.831
209.952,7.357,15.210,17.000,183.153,115.931,393.105
209.947,7.643,14.775,17.261,183.142,115.098,393.089
209.986,7.550,14.420,17.930,183.204,115.154,393.190
210.006,7.150,14.727,16.307,183.088,112.908,393.094
211.004,7.534,14.464,19.181,183.088,117.429,394.092
209.860,7.429,14.849,16.939,182.976,114.352,392.836
209.915,6.727,14.387,16.868,183.146,114.334,393.061
210.020,7.565,14.716,17.473,183.284,115.352,393.305
209.820,6.995,14.429,15.609,183.026,112.390,392.846
210.204,7.645,14.466,18.544,183.167,116.092,393.370
209.940,7.798,14.443,16.409,183.043,113.584,392.983
210.005,7.668,14.711,17.416,183.191,114.206,393.196
209.725,8.213,14.572,16.091,182.945,110.847,392.670
209.956,7.415,14.607,16.883,183.136,115.056,393.093
209.811,7.562,15.009,17.088,183.765,115.281,393.576
209.803,7.842,14.591,17.902,182.977,114.409,392.780
210.010,7.869,14.656,18.414,183.103,116.095,393.113
210.003,8.158,14.862,17.345,183.240,113.950,393.243
209.854,8.098,14.247,16.921,182.975,113.649,392.829
210.017,7.703,14.379,17.444,183.215,113.736,393.232
209.958,7.461,15.442,15.754,183.167,111.301,393.126
209.924,7.094,15.127,19.205,183.095,115.429,393.019
209.919,8.066,14.754,18.137,183.316,116.692,393.235
209.913,7.447,14.662,17.384,183.108,114.284,393.021
209.983,7.770,14.485,16.954,183.044,115.045,393.027
209.887,7.032,14.896,17.598,183.228,115.655,393.114
209.906,7.748,14.594,17.151,183.082,117.152,392.988
209.752,7.743,15.048,16.943,183.019,113.979,392.771
209.825,7.940,15.085,16.387,183.147,115.182,392.972
210.005,8.093,14.863,18.088,183.147,113.244,393.152
209.906,7.310,14.629,16.601,183.187,109.963,393.093
209.953,7.646,14.144,16.059,183.130,114.821,393.082
209.810,8.184,14.840,16.967,183.016,114.278,392.746
209.775,7.915,14.473,17.254,183.121,114.860,392.896
209.961,7.184,14.390,18.666,183.087,115.851,393.048
209.985,6.772,15.056,15.759,183.155,112.776,393.141
209.816,7.172,14.990,17.845,183.014,114.831,392.831
209.971,7.473,14.438,17.464,183.166,114.503,393.138
211.233,7.861,14.641,15.743,183.872,115.903,395.106
212.032,7.970,14.973,15.934,184.162,113.504,396.194
212.106,7.229,14.967,15.350,184.084,114.034,396.104
211.936,7.522,14.492,15.946,184.126,113.639,396.062
212.112,7.018,15.342,16.540,184.210,114.198,396.322
212.096,7.266,15.318,16.835,184.255,114.275,396.351
211.980,8.888,14.903,16.489,184.135,117.147,396.115
212.081,7.410,14.899,16.480,184.170,115.863,396.251
212.031,7.330,14.684,15.134,184.207,115.107,396.238
212.031,7.660,14.988,16.099,184.162,113.536,396.194
212.072,7.921,14.245,14.669,184.247,114.461,396.319
212.080,7.520,14.632,16.273,184.129,112.202,396.208
212.074,8.026,14.329,15.592,184.151,117.003,396.224
212.066,7.107,14.821,14.749,184.128,112.786,396.195
212.026,7.699,14.605,15.957,184.134,115.500,396.160
212.041,7.657,14.409,15.706,184.184,114.093,396.225
211.924,7.688,15.304,16.173,184.860,113.929,396.784
212.008,7.962,14.292,15.947,184.134,117.012,396.143
212.053,7.970,14.668,15.130,184.208,115.075,396.261
212.068,7.820,14.873,15.424,184.182,116.099,396.167
212.086,7.942,14.347,14.703,184.130,113.586,396.216
212.073,7.498,14.525,14.477,184.124,112.502,396.197
212.051,7.469,14.410,16.015,183.542,117.063,395.594
209.649,7.629,14.834,16.387,182.988,114.392,392.637
209.540,7.413,14.130,17.850,183.011,114.176,392.552
209.533,7.386,14.485,15.371,183.066,113.165,392.600
209.698,7.665,14.835,16.729,183.010,114.103,392.708
209.635,7.004,14.472,17.092,183.014,113.782,392.649
209.589,7.376,14.281,17.484,183.033,115.956,392.622
209.577,7.634,14.662,17.208,183.018,111.524,392.595
209.647,8.086,14.872,18.672,183.050,117.856,392.697
209.644,7.675,14.701,18.483,183.030,115.789,392.675
209.720,7.896,14.845,17.661,183.074,114.022,392.794
209.645,7.717,14.674,16.366,183.031,113.867,392.676
209.907,7.917,14.421,17.118,183.076,114.548,392.983
209.472,8.001,14.785,16.480,182.958,113.458,392.430
209.644,7.259,14.530,17.522,183.007,114.266,392.651
209.729,7.805,14.493,16.851,182.989,114.650,392.718
209.666,8.378,14.570,17.607,183.095,117.109,392.761
209.575,7.292,14.618,17.168,182.972,112.352,392.546
209.729,7.212,14.536,17.059,182.999,113.958,392.727
211.221,7.804,14.535,17.662,183.327,113.349,394.548
211.687,8.443,14.555,16.641,182.347,114.608,394.033
211.830,7.914,14.863,17.433,182.516,113.219,394.346
211.838,7.163,14.653,16.356,182.473,112.225,394.310
211.865,7.509,14.105,17.842,182.535,113.933,394.399
211.778,7.228,14.426,16.447,182.319,112.707,394.097
211.849,7.196,14.956,16.871,182.438,111.463,394.287
211.818,7.847,14.780,17.587,182.557,112.765,394.304
211.989,7.346,14.538,16.821,182.540,113.260,394.529
211.895,8.099,14.894,17.990,182.352,115.072,394.246
211.751,7.601,14.608,17.770,182.460,116.068,394.211
211.796,7.515,14.425,17.433,182.461,113.529,394.256
211.742,7.908,15.212,16.189,182.380,112.401,394.122
211.740,8.327,13.987,15.657,183.276,115.458,395.017
211.747,7.472,14.729,16.941,182.316,112.639,394.063
211.985,7.876,14.390,15.914,182.569,114.752,394.555
212.019,7.864,14.123,16.982,182.451,113.722,394.387
211.691,8.226,14.212,16.642,182.319,113.746,394.010
211.793,8.355,14.416,16.679,182.380,111.647,394.173
211.728,8.210,15.055,17.370,182.478,116.880,394.206
211.873,7.426,14.484,15.703,182.479,109.669,394.351
211.864,7.496,14.355,16.061,182.428,111.777,394.292
211.851,7.805,14.252,16.374,182.434,114.797,394.286
211.867,7.660,14.230,15.568,182.434,112.660,394.229
211.874,7.864,14.245,17.708,182.438,114.261,394.312
211.769,7.489,14.941,16.871,182.321,111.566,394.090
212.800,7.363,14.419,16.778,183.735,116.746,396.535
214.212,7.714,14.775,15.617,183.494,113.133,397.634
214.220,7.686,14.226,16.735,183.323,114.265,397.543
214.167,7.182,14.599,15.060,183.544,111.893,397.711
214.053,7.969,14.878,15.983,183.317,114.157,397.370
214.379,7.976,14.483,15.907,183.608,113.530,397.986
214.216,8.406,14.479,14.859,183.426,111.945,397.642
214.122,7.794,14.516,15.019,183.487,112.609,397.609
