preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
0.000,0.000,0.000,0.000,0.000,0.000,292.279
0.000,0.000,0.000,0.000,0.000,0.000,472.155
0.000,0.000,0.000,0.000,0.000,0.000,499.457
0.000,0.000,0.000,0.000,0.000,0.000,499.790
0.000,0.000,0.000,0.000,0.000,0.000,500.002
0.000,0.000,0.000,0.000,0.000,0.000,499.889
0.000,0.000,0.000,0.000,0.000,0.000,502.533
0.000,0.000,0.000,0.000,0.000,0.000,499.687
0.000,0.000,0.000,0.000,0.000,0.000,500.461
0.000,0.000,0.000,0.000,0.000,0.000,499.359
0.000,0.000,0.000,0.000,0.000,0.000,499.775
0.000,0.000,0.000,0.000,0.000,0.000,499.781
0.000,0.000,0.000,0.000,0.000,0.000,499.832
0.000,0.000,0.000,0.000,0.000,0.000,500.972
0.000,0.000,0.000,0.000,0.000,0.000,499.939
0.000,0.000,0.000,0.000,0.000,0.000,499.643
0.000,0.000,0.000,0.000,0.000,0.000,499.924
0.000,0.000,0.000,0.000,0.000,0.000,500.132
0.000,0.000,0.000,0.000,0.000,0.000,500.110
0.000,0.000,0.000,0.000,0.000,0.000,390.455
0.000,0.000,0.000,0.000,0.000,0.000,498.354
0.000,0.000,0.000,0.000,0.000,0.000,498.182
0.000,0.000,0.000,0.000,0.000,0.000,498.423
0.000,0.000,0.000,0.000,0.000,0.000,498.735
0.000,0.000,0.000,0.000,0.000,0.000,511.125
0.000,0.000,0.000,0.000,0.000,0.000,498.769
0.000,0.000,0.000,0.000,0.000,0.000,498.567
0.000,0.000,0.000,0.000,0.000,0.000,501.984
0.000,0.000,0.000,0.000,0.000,0.000,501.692
0.000,0.000,0.000,0.000,0.000,0.000,501.844
0.000,0.000,0.000,0.000,0.000,0.000,500.891
0.000,0.000,0.000,0.000,0.000,0.000,502.062
0.000,0.000,0.000,0.000,0.000,0.000,502.264
0.000,0.000,0.000,0.000,0.000,0.000,501.961
0.000,0.000,0.000,0.000,0.000,0.000,501.697
0.000,0.000,0.000,0.000,0.000,0.000,502.173
0.000,0.000,0.000,0.000,0.000,0.000,501.884
0.000,0.000,0.000,0.000,0.000,0.000,502.108
0.000,0.000,0.000,0.000,0.000,0.000,501.852
0.000,0.000,0.000,0.000,0.000,0.000,509.962
0.000,0.000,0.000,0.000,0.000,0.000,502.475
0.000,0.000,0.000,0.000,0.000,0.000,501.825
0.000,0.000,0.000,0.000,0.000,0.000,502.332
0.000,0.000,0.000,0.000,0.000,0.000,502.245
0.000,0.000,0.000,0.000,0.000,0.000,502.319
0.000,0.000,0.000,0.000,0.000,0.000,502.076
0.000,0.000,0.000,0.000,0.000,0.000,502.464
0.000,0.000,0.000,0.000,0.000,0.000,502.076
0.000,0.000,0.000,0.000,0.000,0.000,502.162
0.000,0.000,0.000,0.000,0.000,0.000,510.571
0.000,0.000,0.000,0.000,0.000,0.000,502.383
0.000,0.000,0.000,0.000,0.000,0.000,502.554
0.000,0.000,0.000,0.000,0.000,0.000,502.443
0.000,0.000,0.000,0.000,0.000,0.000,502.307
0.000,0.000,0.000,0.000,0.000,0.000,502.659
0.000,0.000,0.000,0.000,0.000,0.000,502.401
0.000,0.000,0.000,0.000,0.000,0.000,511.263
0.000,0.000,0.000,0.000,0.000,0.000,502.452
0.000,0.000,0.000,0.000,0.000,0.000,502.273
0.000,0.000,0.000,0.000,0.000,0.000,502.096
0.000,0.000,0.000,0.000,0.000,0.000,501.895
0.000,0.000,0.000,0.000,0.000,0.000,502.483
0.000,0.000,0.000,0.000,0.000,0.000,502.451
0.000,0.000,0.000,0.000,0.000,0.000,502.121
0.000,0.000,0.000,0.000,0.000,0.000,502.362
0.000,0.000,0.000,0.000,0.000,0.000,502.354
0.000,0.000,0.000,0.000,0.000,0.000,502.365
0.000,0.000,0.000,0.000,0.000,0.000,502.555
0.000,0.000,0.000,0.000,0.000,0.000,502.402
0.000,0.000,0.000,0.000,0.000,0.000,510.126
0.000,0.000,0.000,0.000,0.000,0.000,502.254
0.000,0.000,0.000,0.000,0.000,0.000,502.487
0.000,0.000,0.000,0.000,0.000,0.000,501.088
0.000,0.000,0.000,0.000,0.000,0.000,502.467
0.000,0.000,0.000,0.000,0.000,0.000,502.438
0.000,0.000,0.000,0.000,0.000,0.000,502.521
0.000,0.000,0.000,0.000,0.000,0.000,502.687
0.000,0.000,0.000,0.000,0.000,0.000,502.636
0.000,0.000,0.000,0.000,0.000,0.000,502.567
0.000,0.000,0.000,0.000,0.000,0.000,502.590
0.000,0.000,0.000,0.000,0.000,0.000,502.510
0.000,0.000,0.000,0.000,0.000,0.000,504.557
0.000,0.000,0.000,0.000,0.000,0.000,502.681
0.000,0.000,0.000,0.000,0.000,0.000,502.545
