preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
281.105,9.383,6.903,12.996,181.797,70.510,462.902
217.756,9.952,7.774,12.870,182.610,84.694,400.367
237.559,8.819,7.330,12.735,182.395,75.059,419.954
282.909,9.126,6.919,13.117,181.990,69.469,464.899
285.710,9.189,7.080,13.005,182.254,71.860,467.964
284.082,9.340,7.249,12.814,182.373,74.874,466.455
283.786,9.086,7.345,12.759,182.162,74.529,465.948
283.939,9.107,7.337,13.004,182.385,75.831,466.324
283.553,9.173,7.373,12.669,182.253,75.274,465.806
284.443,9.162,7.409,12.769,182.155,74.659,466.599
288.664,9.679,7.228,12.242,181.959,66.946,470.623
288.606,9.823,7.296,12.093,181.948,67.637,470.554
288.591,9.626,7.237,12.105,181.882,67.124,470.474
290.289,9.724,7.277,12.229,182.012,67.411,472.302
288.806,9.934,7.140,12.095,181.915,67.481,470.721
289.393,9.981,7.133,12.176,182.026,67.543,471.419
289.217,9.936,7.074,12.136,182.014,66.868,471.231
289.406,10.114,7.246,12.297,182.143,67.759,471.549
289.562,10.086,7.227,12.406,182.058,68.255,471.619
296.126,9.919,7.172,12.229,181.822,67.414,477.948
289.197,10.012,7.174,12.234,182.012,68.264,471.209
289.669,10.041,7.256,12.165,182.182,68.670,471.851
289.438,10.021,7.216,12.227,181.939,67.968,471.377
289.333,9.877,7.131,12.127,182.002,67.308,471.336
289.215,9.924,7.213,12.605,182.493,67.577,471.708
289.429,9.809,7.335,12.133,181.907,67.175,471.336
268.660,9.638,7.416,12.107,182.150,69.109,450.810
187.793,9.704,7.940,11.727,182.455,71.071,370.248
187.759,9.741,8.114,11.712,182.846,72.353,370.605
187.994,9.731,7.749,11.344,182.362,69.665,370.356
187.816,9.699,7.782,11.386,182.562,70.269,370.378
187.984,9.693,7.733,11.445,182.496,70.069,370.481
188.738,9.905,7.801,11.319,182.204,71.437,370.942
187.835,9.753,7.744,11.404,182.415,69.669,370.250
187.985,9.544,7.827,11.507,182.528,68.606,370.513
187.845,9.868,7.842,11.318,182.550,70.515,370.396
188.558,9.580,8.076,11.436,182.897,70.335,371.386
188.030,9.571,8.011,11.442,182.630,70.063,370.593
188.056,9.762,7.825,11.322,182.361,70.216,370.347
187.913,9.724,7.788,11.384,182.423,70.445,370.337
188.614,9.904,7.860,11.275,182.379,71.306,370.993
188.077,9.892,7.796,11.397,182.332,71.166,370.409
188.108,9.892,7.797,11.451,182.394,70.354,370.503
188.227,9.778,7.749,11.340,182.314,70.538,370.540
188.237,10.010,7.792,11.251,182.550,71.333,370.786
188.085,9.878,7.752,11.348,182.289,70.076,370.374
209.326,9.715,7.612,11.516,182.360,69.940,391.686
291.385,9.743,6.748,12.307,182.065,65.031,473.450
290.208,9.823,6.788,12.408,181.845,65.021,472.053
290.530,9.873,6.820,12.476,181.936,65.420,472.467
290.700,9.845,6.836,12.493,181.978,65.653,472.679
290.735,9.808,6.723,12.426,181.997,66.161,472.732
290.307,9.812,6.856,12.446,181.982,66.756,472.289
290.614,9.995,6.926,12.273,182.052,67.317,472.666
290.906,9.880,6.786,12.337,181.981,66.086,472.887
290.621,9.796,6.749,12.306,181.910,66.756,472.532
290.507,9.781,6.803,12.320,181.996,65.154,472.504
290.409,9.828,6.813,12.329,181.985,65.838,472.394
302.670,9.920,6.802,12.354,182.068,66.628,484.738
290.324,9.944,7.111,12.163,181.972,66.673,472.296
289.992,9.991,7.086,12.225,182.019,68.164,472.011
290.142,9.884,7.155,11.964,181.959,66.608,472.100
290.159,10.056,7.097,12.150,182.108,67.789,472.268
290.077,10.034,7.208,12.236,181.977,67.646,472.054
289.748,9.968,7.144,12.112,182.018,67.838,471.767
290.079,10.002,7.131,12.158,181.911,68.662,471.989
290.698,10.033,7.161,12.249,182.085,67.523,472.783
290.098,10.045,7.111,12.150,181.969,68.053,472.068
289.715,9.979,7.103,12.172,182.025,67.611,471.740
290.722,9.928,7.135,12.187,181.897,66.657,472.619
290.202,9.962,7.077,12.091,182.080,66.283,472.282
290.219,10.094,7.164,12.177,182.064,67.734,472.283
290.131,10.015,7.170,12.260,181.956,67.527,472.087
289.444,10.060,7.057,12.198,182.969,67.383,472.414
290.686,10.001,7.068,12.187,182.000,67.616,472.686
290.073,10.019,7.293,12.143,181.957,67.351,472.030
289.677,10.112,7.167,12.032,182.147,67.628,471.825
289.410,10.108,7.266,12.317,181.943,68.026,471.352
290.404,9.940,7.212,12.172,182.102,66.574,472.505
289.868,9.947,7.102,12.242,182.074,67.585,471.942
290.615,9.935,7.075,12.208,182.051,66.100,472.666
289.729,10.083,7.250,12.431,182.041,67.854,471.770
290.165,9.923,7.160,12.231,182.019,67.890,472.185
290.107,9.887,7.214,12.123,182.007,67.096,472.114
290.062,10.025,7.339,12.139,182.019,68.180,472.081
290.710,9.646,7.235,12.078,182.088,65.719,472.798
289.877,9.768,7.334,12.363,182.021,67.253,471.899
290.772,9.785,7.297,12.022,182.060,67.036,472.832
290.486,9.869,7.255,11.965,182.088,67.850,472.574
290.771,9.759,7.286,12.123,182.162,66.858,472.934
290.600,9.788,7.238,11.948,182.062,66.622,472.663
289.852,9.794,7.236,12.214,181.934,68.337,471.785
290.842,9.790,7.211,12.129,182.116,68.041,472.958
290.072,9.701,7.247,12.123,181.990,67.372,472.062
291.139,9.811,7.301,12.265,182.094,68.872,473.233
297.495,9.790,7.346,12.060,182.083,67.993,479.578
290.540,9.764,7.267,12.185,182.037,67.961,472.577
290.660,9.766,7.346,12.194,182.021,67.708,472.681
290.313,9.858,7.410,12.167,182.173,67.682,472.486
290.192,9.824,7.267,12.145,182.053,68.135,472.245
290.302,9.676,7.195,12.087,182.038,67.109,472.340
290.745,9.690,7.236,12.136,182.173,66.716,472.918
290.410,9.563,7.205,12.132,182.074,65.861,472.484
290.150,9.752,7.280,12.144,181.988,67.087,472.138
289.877,9.728,7.276,12.162,182.105,67.519,471.982
290.021,9.798,7.368,12.284,182.003,67.040,472.023
290.559,9.760,7.288,12.130,182.052,67.163,472.612
214.720,9.586,7.776,11.538,182.273,72.236,396.993
188.663,9.630,7.942,11.479,182.366,69.711,371.029
188.519,9.487,7.912,11.253,182.324,69.290,370.774
188.615,9.575,7.943,11.332,182.464,69.318,371.009
188.427,9.567,7.883,11.207,182.333,69.509,370.760
