preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
235.462,10.184,13.619,10.262,165.345,65.103,400.807
235.665,9.635,13.262,10.085,166.084,56.842,401.749
244.899,8.495,13.639,11.233,139.630,60.807,384.530
245.591,8.442,13.581,11.328,138.805,61.104,384.396
245.252,8.434,13.529,11.130,139.373,61.147,384.625
245.539,8.486,13.446,11.188,139.494,61.088,385.033
245.484,8.329,13.422,11.155,139.452,60.738,384.936
245.420,8.304,13.535,11.245,139.691,60.849,385.111
247.233,8.281,13.636,11.252,139.606,60.999,386.839
248.886,8.027,13.535,11.346,138.329,59.473,387.216
248.871,8.184,13.531,11.392,138.488,60.029,387.359
248.831,8.212,13.582,11.373,138.536,60.209,387.367
249.425,8.088,13.551,11.329,138.568,60.292,387.992
248.856,8.169,13.685,11.325,138.388,59.436,387.244
249.505,8.393,13.412,11.209,138.703,59.876,388.208
249.003,8.775,13.114,11.394,138.610,60.254,387.613
249.381,8.791,13.249,11.274,138.692,60.998,388.073
249.511,8.697,13.202,11.375,138.706,60.086,388.217
249.229,8.686,13.143,11.392,138.793,60.401,388.022
249.437,8.771,13.161,11.336,138.810,60.774,388.247
249.530,8.663,13.031,11.318,138.756,60.668,388.286
249.245,8.726,13.053,11.411,138.746,60.256,387.990
262.733,8.745,13.116,11.208,138.883,59.921,401.616
249.506,8.792,13.158,11.292,138.751,60.593,388.257
249.581,8.676,13.131,11.405,138.901,59.999,388.483
249.540,8.225,13.596,11.279,138.979,59.263,388.520
249.325,8.008,13.614,11.402,138.909,59.408,388.233
249.627,8.333,13.646,11.165,138.717,60.267,388.344
249.724,8.156,13.350,11.354,139.167,59.706,388.891
249.660,8.291,13.163,11.397,138.889,59.528,388.549
249.798,8.604,12.940,11.451,139.187,59.751,388.985
249.706,8.616,12.967,11.231,139.086,60.049,388.792
250.398,9.042,13.191,11.306,139.032,60.369,389.429
