preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
219.817,25.279,30.063,60.787,186.650,401.155,406.467
218.644,21.971,25.749,51.149,186.492,386.140,405.136
219.003,26.849,26.213,54.060,186.559,401.404,405.562
219.325,25.173,27.438,55.056,186.973,404.125,406.299
219.296,26.920,30.454,53.073,186.762,400.277,406.058
219.164,24.848,24.185,45.765,186.342,379.126,405.506
215.619,28.187,27.012,51.978,188.077,404.867,403.696
217.306,25.848,27.338,55.956,187.695,395.670,405.001
215.507,26.263,25.710,49.947,187.908,405.755,403.415
215.667,24.310,25.686,49.912,187.477,373.116,403.144
215.669,29.610,27.117,54.926,187.794,409.198,403.463
216.272,27.319,26.733,48.731,187.492,388.465,403.764
220.607,28.830,25.401,52.628,187.727,409.677,408.334
220.501,27.036,25.341,56.325,187.396,396.057,407.898
220.813,32.808,28.353,44.109,188.033,427.916,408.846
220.436,27.274,26.695,45.730,187.573,412.611,408.009
219.100,26.539,24.596,50.615,186.726,397.770,405.825
218.744,20.168,26.481,46.050,186.297,364.149,405.041
219.427,26.614,27.327,52.468,186.698,390.752,406.125
218.831,25.871,24.855,49.828,186.807,381.602,405.638
218.866,23.705,28.758,50.070,186.303,383.518,405.170
218.938,26.551,25.753,48.327,186.615,380.558,405.553
219.290,23.245,30.087,53.194,186.785,397.514,406.076
218.961,25.666,25.275,50.363,186.518,378.666,405.479
219.041,24.544,25.946,49.733,186.636,393.831,405.677
218.825,22.440,26.328,49.215,186.894,374.454,405.719
219.229,27.348,28.980,50.822,186.742,413.381,405.971
219.318,24.785,26.862,54.761,186.531,391.538,405.850
219.391,24.970,26.248,47.282,186.630,397.513,406.022
218.976,22.838,25.412,59.384,186.343,380.391,405.319
219.393,28.152,26.757,50.609,186.736,409.003,406.129
219.482,25.447,25.534,51.817,186.820,402.953,406.302
218.122,20.924,25.849,42.820,187.100,333.347,405.222
219.119,25.360,28.328,54.395,186.426,382.791,405.546
219.148,24.747,28.132,55.381,186.804,397.612,405.952
219.021,25.168,25.535,49.952,186.498,388.177,405.519
219.247,27.392,27.189,50.228,186.586,390.565,405.833
215.773,27.093,27.170,49.923,187.101,380.309,402.874
215.906,27.740,28.894,51.861,188.125,411.018,404.031
215.482,27.158,26.633,50.597,187.513,391.613,402.995
215.769,24.668,27.132,58.320,187.818,395.773,403.586
223.531,29.566,26.129,47.426,187.330,380.943,410.765
215.837,26.076,27.189,53.462,187.948,400.993,403.785
215.663,26.828,29.304,54.873,187.838,394.804,403.501
215.639,28.912,27.511,49.167,187.880,394.477,403.520
215.359,24.862,25.829,52.463,187.439,380.384,402.797
217.827,21.154,25.415,51.274,187.010,387.909,404.837
219.554,27.001,28.505,59.410,186.877,400.865,406.431
219.288,28.998,27.394,56.923,186.832,408.253,406.120
218.971,24.214,27.095,51.405,186.443,383.225,405.414
219.256,27.929,26.448,50.589,186.787,397.925,406.042
219.393,26.070,29.220,56.006,186.828,398.713,406.221
219.206,27.950,29.375,55.029,186.677,403.432,405.882
218.787,23.769,29.193,48.133,186.946,367.465,405.733
219.399,25.081,28.081,56.710,186.866,410.193,406.265
219.249,26.396,27.771,54.645,186.688,401.970,405.938
219.166,27.735,27.589,50.479,186.688,396.657,405.855
219.219,24.843,25.987,52.828,186.588,388.708,405.807
219.567,24.159,29.189,53.591,186.890,414.732,406.457
219.123,26.260,28.056,52.631,186.537,384.421,405.660
219.237,28.302,26.724,52.877,186.810,405.368,405.948
218.430,21.486,24.915,45.767,186.412,361.692,404.842
215.709,26.930,27.300,57.711,187.846,395.290,403.554
215.759,30.208,26.623,52.791,187.789,405.385,403.549
215.530,24.396,25.758,50.847,187.650,398.329,403.181
215.664,27.313,28.342,53.976,187.747,397.626,403.411
215.774,29.566,27.577,52.239,188.045,413.099,403.819
215.743,25.414,26.516,54.357,187.917,406.887,403.660
215.788,26.784,28.448,51.066,187.780,400.757,403.569
215.488,22.258,25.362,50.600,187.445,381.305,402.933
215.647,29.579,28.701,53.387,187.895,409.871,403.541
215.484,26.678,27.416,52.122,187.797,395.781,403.281
215.854,27.129,27.617,52.139,187.847,399.132,403.700
215.442,29.231,25.526,51.077,187.457,385.295,402.899
223.870,26.029,28.552,50.821,187.601,391.907,411.471
215.582,24.788,26.117,52.394,187.654,394.686,403.236
215.475,27.050,27.637,52.764,187.546,392.689,403.020
215.465,23.855,24.196,50.813,187.371,375.231,402.836
215.705,26.933,23.973,50.328,187.654,387.898,403.359
215.470,27.508,28.601,51.564,187.785,402.113,403.255
215.908,25.967,28.133,55.345,187.806,393.639,403.714
215.374,25.829,25.332,49.147,187.565,378.899,402.939
215.547,26.329,27.957,46.270,187.397,381.198,402.944
215.402,27.179,26.675,44.170,187.528,381.921,402.929
215.594,25.920,25.198,50.287,187.623,386.757,403.218
215.604,26.375,28.667,50.614,187.843,397.471,403.447
215.630,24.580,25.289,56.224,187.652,404.122,403.282
216.012,26.738,28.087,52.298,188.059,398.006,404.071
215.867,27.047,28.967,55.759,188.022,412.867,403.889
215.378,23.928,25.965,49.527,187.416,376.665,402.794
224.483,25.427,27.768,49.371,187.844,396.922,412.327
215.689,26.693,27.851,54.504,187.971,405.566,403.661
215.750,26.282,26.921,50.744,187.787,405.534,403.536
215.574,26.706,27.030,49.584,187.607,391.849,403.181
215.724,28.967,28.171,52.267,187.788,400.430,403.513
215.748,26.500,27.574,51.617,188.061,400.759,403.809
215.655,24.208,26.074,50.538,187.684,390.723,403.339
215.477,24.426,26.403,48.267,187.547,383.428,403.024
215.617,25.698,27.008,53.913,187.740,405.372,403.357
215.731,25.340,26.222,57.487,187.670,392.659,403.401
215.774,26.356,25.930,53.266,187.757,403.730,403.531
215.708,25.628,27.972,52.865,187.700,392.202,403.408
215.663,26.856,26.358,53.006,187.882,404.788,403.545
215.366,22.241,25.621,47.337,187.433,377.120,402.799
215.802,30.267,30.422,54.120,187.914,405.341,403.716
215.390,23.415,26.693,49.815,187.521,387.598,402.911
215.872,29.759,27.250,57.262,187.964,406.442,403.836
215.435,28.137,27.298,48.111,187.711,391.474,403.146
215.731,24.006,27.370,52.857,187.531,385.025,403.262
215.438,23.299,24.316,49.391,187.357,377.369,402.796
215.530,25.305,27.054,54.503,187.547,391.378,403.077
215.617,26.803,28.532,51.457,187.704,395.686,403.321
215.842,27.487,27.537,51.178,187.789,398.983,403.631
215.335,26.890,24.978,48.399,187.369,384.556,402.704
215.777,26.594,26.857,50.741,187.996,417.153,403.773
215.713,29.460,30.468,53.018,187.771,406.865,403.483
215.420,24.596,26.568,42.439,187.607,391.547,403.028
215.539,28.325,25.951,48.825,187.651,394.599,403.189
219.260,24.575,25.858,54.520,186.753,396.956,406.013
219.745,22.438,30.069,57.302,186.997,407.069,406.742
219.325,23.205,28.163,52.096,186.541,386.721,405.866
219.720,25.174,28.020,51.341,186.924,402.078,406.644
219.559,27.830,29.674,48.496,186.795,399.477,406.354
219.854,27.798,27.831,52.260,187.021,400.578,406.875
219.465,27.290,27.502,52.970,186.723,388.507,406.187
219.281,23.584,26.249,50.367,186.499,376.009,405.780
219.328,23.173,27.060,54.202,186.782,399.725,406.110
219.369,24.478,27.454,50.796,186.689,384.096,406.058
219.317,24.108,24.006,48.633,186.521,384.962,405.838
219.513,25.952,25.669,51.189,186.670,384.523,406.183
219.046,24.816,27.230,50.916,186.549,388.147,405.595
215.352,26.029,27.219,51.475,187.652,397.250,403.004
215.260,24.752,27.977,55.939,187.757,402.131,403.018
215.252,29.032,24.455,47.825,187.413,386.910,402.665
215.433,25.404,29.519,53.538,187.720,400.493,403.153
215.378,28.790,25.930,51.452,187.588,397.073,402.854
215.489,28.474,28.890,52.658,187.942,411.120,403.431
215.015,23.323,24.304,48.095,187.359,375.538,402.373
215.390,23.471,27.450,57.310,187.483,395.034,402.873
215.415,23.598,26.453,51.142,187.609,393.941,403.024
215.536,26.975,27.665,49.729,188.033,402.870,403.570
215.044,27.853,24.642,47.078,187.423,378.490,402.467
215.419,28.702,27.262,47.857,187.997,404.489,403.416
215.251,25.392,26.993,47.816,187.749,396.263,403.000
215.262,27.925,27.252,50.090,187.638,395.661,402.900
215.139,26.117,28.230,54.659,187.508,389.140,402.647
215.435,25.439,27.268,47.868,187.784,391.828,403.219
215.268,26.665,26.347,51.707,187.926,402.001,403.195
215.427,25.074,26.491,52.234,187.573,394.247,403.000
