preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
353.612,9.191,6.727,13.617,178.734,72.142,532.346
351.932,9.039,6.725,13.493,178.617,71.513,530.550
352.842,8.922,6.704,13.507,178.587,71.463,531.429
351.465,8.886,6.641,13.177,178.934,70.274,530.399
350.881,9.123,6.666,13.330,178.700,70.546,529.581
351.537,9.038,6.708,13.199,179.138,71.514,530.675
351.139,8.801,6.589,13.127,179.017,70.546,530.156
352.145,8.972,6.818,13.226,178.751,71.340,530.897
355.868,9.180,6.886,13.846,179.699,75.849,535.567
355.686,9.104,6.865,13.524,179.567,74.893,535.254
355.820,9.345,6.933,13.335,179.564,75.363,535.260
356.433,9.088,6.770,13.393,179.670,75.182,536.103
355.072,9.329,6.828,13.472,179.451,75.072,534.523
356.643,9.494,6.873,13.479,179.569,75.925,536.212
356.046,9.206,6.832,13.123,179.516,75.517,535.562
356.058,9.249,6.812,13.398,179.567,76.102,535.625
356.803,9.410,6.921,13.550,179.731,75.545,536.534
356.236,9.178,6.979,13.530,179.705,76.343,535.942
356.254,9.141,6.764,13.219,179.571,75.296,535.825
356.408,9.179,6.845,13.405,179.688,76.319,536.096
355.126,9.410,6.898,13.291,180.003,75.359,535.128
355.946,9.095,6.935,13.436,179.599,75.661,535.546
356.361,9.000,6.850,13.409,179.826,75.688,536.187
355.917,9.318,6.942,13.565,179.601,76.386,535.519
357.245,9.133,6.887,13.149,179.669,73.935,536.913
355.420,9.221,6.948,13.472,180.067,75.584,535.487
355.967,9.183,6.911,13.314,179.764,74.890,535.730
356.097,9.269,6.915,13.288,179.847,76.042,535.943
356.136,9.330,6.891,13.282,179.665,75.053,535.801
355.922,9.292,6.788,13.373,179.666,75.279,535.449
371.288,9.500,6.934,13.468,179.848,76.399,551.014
356.136,8.974,6.781,13.703,179.337,75.526,535.474
356.957,9.464,6.927,13.526,179.839,74.657,536.796
356.302,9.358,6.900,13.491,179.727,75.189,536.028
356.903,9.381,6.854,13.561,179.726,76.651,536.629
356.122,9.137,6.832,13.433,179.665,75.317,535.786
356.174,9.397,7.021,13.619,179.570,75.104,535.744
357.087,9.159,6.883,13.410,179.807,74.757,536.895
356.269,9.219,6.876,13.438,179.577,77.213,535.846
354.608,9.125,6.968,13.460,180.701,75.228,535.309
356.188,9.279,6.946,13.303,179.643,74.209,535.831
356.227,9.242,6.838,13.294,179.607,75.053,535.833
356.396,9.261,6.900,13.409,179.720,75.577,536.116
