preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
215.449,10.005,11.672,11.695,138.636,69.743,354.086
215.465,10.206,11.818,11.688,138.713,69.589,354.177
215.428,10.014,11.745,11.817,139.120,68.928,354.548
215.474,9.760,11.702,11.956,138.583,69.760,354.058
215.536,9.896,11.676,12.149,138.608,71.026,354.144
215.492,10.072,12.033,11.922,138.606,70.323,354.098
215.411,10.141,11.781,11.831,138.692,70.005,354.103
215.548,9.720,11.638,11.998,138.601,69.376,354.149
215.503,9.775,11.695,11.973,138.640,70.514,354.143
215.576,9.865,11.900,12.108,138.624,70.085,354.200
215.564,9.914,11.864,12.000,138.578,68.575,354.141
215.417,9.684,11.628,11.925,138.572,69.860,353.989
215.559,9.875,11.594,11.879,138.634,70.528,354.193
215.512,9.890,11.869,12.134,138.510,69.781,354.022
215.473,9.929,11.745,11.863,138.586,69.233,354.059
215.390,10.053,11.827,11.932,138.602,69.331,353.993
215.573,9.688,11.579,11.877,138.509,68.885,354.082
215.560,9.950,11.923,11.835,138.583,68.875,354.144
215.554,10.074,11.909,11.831,138.635,69.324,354.189
215.525,9.820,11.695,11.850,138.642,68.995,354.167
215.620,9.814,11.595,11.826,138.650,68.832,354.270
215.535,9.931,11.757,11.843,138.527,69.106,353.982
215.666,9.970,11.742,11.801,138.752,69.163,354.418
215.350,9.981,11.933,11.908,138.605,70.559,353.955
215.353,9.864,11.864,11.787,138.629,69.403,353.982
215.262,10.065,11.798,11.937,138.626,69.377,353.887
221.286,9.850,11.691,11.858,138.608,67.318,359.894
215.180,9.853,11.563,11.954,138.580,69.817,353.760
215.307,9.868,11.590,11.907,138.575,70.303,353.833
215.159,9.960,11.783,11.860,138.439,69.072,353.520
215.280,10.072,11.705,11.813,138.591,69.537,353.871
215.096,9.978,11.712,11.948,138.487,69.718,353.583
215.294,9.718,11.542,11.839,138.623,69.825,353.917
215.214,9.989,11.771,11.768,138.473,69.226,353.688
215.298,10.139,11.821,11.842,138.625,69.333,353.924
215.220,9.873,11.581,11.859,138.549,68.940,353.769
215.262,9.744,11.603,11.719,138.473,67.988,353.735
215.283,9.943,11.815,11.762,138.607,69.040,353.890
215.294,10.046,11.755,12.040,138.529,68.606,353.823
215.257,9.809,11.576,11.875,138.516,68.475,353.773
215.265,9.825,11.571,11.778,138.523,69.386,353.787
215.113,10.050,11.867,11.891,138.517,68.677,353.630
215.331,9.833,11.739,11.822,138.568,67.467,353.898
215.246,9.637,11.614,11.878,138.511,68.088,353.757
215.348,9.836,11.600,11.838,138.477,68.946,353.825
215.291,9.921,11.943,11.793,138.551,68.884,353.842
