preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
309.318,9.797,17.473,22.981,192.735,129.326,502.053
309.525,9.558,17.162,25.250,192.852,132.300,502.376
309.173,10.032,17.654,24.292,192.921,133.766,502.094
309.435,9.502,17.472,23.831,192.672,131.282,502.107
309.674,9.998,17.901,23.972,192.727,132.647,502.401
309.979,9.570,17.390,22.736,192.657,129.223,502.636
309.441,9.628,17.553,24.574,192.804,131.181,502.245
309.187,10.141,17.589,24.913,192.771,134.217,501.957
309.642,10.022,17.285,23.234,192.637,132.339,502.280
309.593,9.786,17.362,23.995,192.725,127.343,502.319
310.099,9.774,17.263,22.986,192.777,128.899,502.876
306.680,12.601,20.708,27.193,193.128,154.971,499.807
309.628,9.859,17.466,22.861,192.724,129.621,502.352
309.438,9.882,17.453,24.148,192.924,130.391,502.362
309.730,9.396,17.293,23.763,192.622,128.597,502.352
309.989,9.502,17.423,23.225,192.898,130.751,502.888
318.111,10.063,18.053,23.616,192.570,129.042,510.681
310.158,9.230,17.325,23.898,192.640,128.502,502.798
309.547,9.294,17.277,22.449,192.467,128.592,502.014
310.198,9.522,17.598,22.754,192.643,129.032,502.841
309.897,9.787,17.248,22.784,192.967,130.537,502.864
309.902,9.521,18.580,23.254,192.918,130.571,502.820
309.451,9.784,16.918,24.762,192.420,133.646,501.871
310.217,9.529,17.198,22.848,192.675,129.422,502.749
309.869,9.664,17.504,23.836,192.741,131.711,502.610
310.495,9.481,17.311,22.968,192.553,126.700,503.049
309.397,10.021,17.851,23.499,192.743,132.839,502.140
310.410,9.942,17.628,23.377,192.706,131.433,503.116
309.996,9.573,17.775,24.615,192.625,130.861,502.622
310.167,9.671,17.245,22.710,192.659,128.409,502.826
309.948,10.134,17.697,24.566,192.939,131.608,502.887
309.535,9.659,17.718,23.096,192.661,129.759,502.196
309.824,9.315,17.666,24.028,192.583,131.304,502.407
310.214,9.497,17.051,24.443,192.678,131.157,502.757
310.041,9.956,17.169,24.160,192.832,131.403,502.873
309.411,9.737,17.796,24.975,192.568,134.028,501.979
283.977,16.975,23.221,37.662,196.210,209.253,480.187
303.318,12.727,20.154,29.003,194.102,155.874,497.420
305.384,9.508,16.740,23.288,193.330,129.628,498.619
306.214,9.362,16.735,22.345,193.403,125.380,499.617
305.928,9.182,16.743,22.888,193.363,123.084,499.291
306.037,9.193,17.086,22.134,193.358,126.098,499.395
306.970,9.609,17.382,23.222,193.571,129.693,500.542
310.160,9.404,17.222,23.186,192.765,125.545,502.925
309.892,9.565,17.284,25.374,192.776,129.035,502.668
309.905,9.582,16.787,24.054,192.908,129.618,502.813
310.633,9.353,16.963,23.766,192.722,126.940,503.355
309.488,11.761,19.683,25.968,193.758,149.167,503.246
309.705,9.829,17.181,23.366,192.744,132.113,502.448
309.926,9.512,17.209,22.280,192.646,128.061,502.571
309.799,9.856,18.020,24.124,192.719,132.657,502.518
309.997,9.412,17.328,24.422,192.752,127.357,502.748
309.406,9.295,16.912,24.930,192.697,131.423,502.103
310.094,9.725,17.499,23.467,192.742,130.661,502.836
309.561,10.114,17.845,25.449,192.840,133.944,502.401
310.499,9.523,18.031,22.926,192.830,127.244,503.329
310.086,9.770,17.503,23.982,192.656,130.106,502.742
309.510,9.474,17.305,23.223,192.785,131.614,502.295
310.049,10.033,17.421,23.398,192.737,129.320,502.647
309.987,9.632,17.274,24.106,192.805,132.321,502.792
310.246,9.707,17.980,22.813,192.649,127.511,502.894
309.803,9.838,17.748,24.389,192.913,130.538,502.716
309.956,9.636,17.475,24.516,192.855,135.150,502.811
310.037,9.361,17.016,23.536,192.825,127.937,502.862
310.085,10.169,17.020,23.382,192.741,128.876,502.825
322.392,9.766,18.044,24.228,193.029,132.834,515.421
309.594,9.980,17.341,23.547,192.707,128.449,502.301
309.743,9.619,17.611,24.102,192.768,129.588,502.511
309.596,9.428,17.009,22.887,192.696,128.735,502.292
309.904,9.574,17.082,24.403,192.662,129.883,502.565
309.351,9.769,17.076,24.398,192.741,131.898,502.091
309.775,10.390,17.228,23.925,192.886,130.426,502.661
309.186,9.663,17.186,23.762,192.677,131.128,501.863
309.535,10.100,17.167,23.429,192.980,133.111,502.515
310.078,9.375,16.948,22.759,192.819,126.305,502.896
309.472,9.235,17.556,24.031,192.789,130.853,502.261
310.376,12.508,19.467,28.477,193.904,146.556,504.280
308.898,10.354,17.351,24.543,192.908,133.667,501.806
309.408,9.427,17.689,23.696,192.713,130.722,502.121
309.449,9.308,17.240,24.919,192.950,131.150,502.399
309.379,10.295,17.897,23.646,193.005,131.542,502.252
309.299,9.922,17.125,24.229,192.743,129.500,502.042
310.015,9.506,17.388,23.190,192.701,130.202,502.717
309.978,9.247,17.018,22.973,192.842,126.336,502.820
308.873,9.722,17.546,23.403,192.909,135.406,501.782
309.311,9.729,17.864,24.084,192.883,134.586,502.194
308.904,9.565,17.344,23.926,192.757,132.599,501.661
309.742,9.623,17.188,22.746,193.076,131.721,502.818
308.297,9.719,17.804,25.128,193.001,138.555,501.298
308.922,9.819,18.370,26.130,193.011,137.427,501.933
309.785,9.993,18.461,23.121,192.896,133.460,502.680
309.640,9.235,17.053,23.437,192.726,128.360,502.366
309.846,9.562,17.253,24.579,192.966,131.731,502.811
309.702,9.518,18.324,22.437,192.803,125.849,502.505
309.816,9.754,17.282,25.503,192.793,134.326,502.609
309.832,9.711,17.308,23.313,192.794,129.125,502.626
309.751,9.527,17.632,23.222,192.781,129.858,502.532
309.422,9.456,17.141,23.855,192.836,127.764,502.258
309.614,9.625,17.441,23.121,192.826,132.031,502.440
309.361,9.698,17.189,23.738,192.888,130.097,502.249
309.282,9.658,17.904,24.215,192.947,129.699,502.228
309.948,9.532,17.098,22.925,192.824,127.635,502.772
309.141,10.564,17.372,25.622,192.862,133.882,502.003
309.269,9.662,17.456,24.432,192.738,130.967,502.007
309.545,9.501,17.074,24.155,192.764,132.309,502.309
308.998,9.766,17.885,25.959,193.246,137.492,502.244
309.531,9.775,17.252,24.075,192.794,131.958,502.326
310.141,9.734,17.105,23.867,192.908,125.883,503.050
309.819,9.673,17.744,23.466,193.143,130.859,502.962
308.952,10.535,17.412,25.926,192.727,136.195,501.679
309.381,9.844,17.599,25.653,192.846,131.236,502.228
309.859,9.132,17.612,23.685,192.898,129.031,502.757
309.509,9.971,17.590,23.759,192.722,130.927,502.231
309.841,9.130,17.379,24.539,192.744,128.300,502.586
309.902,9.562,17.372,24.005,192.736,128.506,502.638
309.658,9.338,17.161,23.165,192.600,128.071,502.258
309.416,9.578,17.712,25.263,192.904,132.196,502.320
309.631,9.461,17.258,22.090,192.766,128.384,502.248
309.915,9.837,17.582,22.948,192.944,128.326,502.859
308.944,9.666,18.117,23.256,192.880,131.268,501.824
309.916,9.805,17.031,24.164,192.736,128.606,502.653
309.542,9.423,17.819,24.892,192.780,130.524,502.322
309.659,9.428,16.810,23.347,192.687,126.367,502.347
309.628,9.691,17.036,23.534,192.965,128.167,502.593
309.792,9.664,17.124,22.803,192.846,127.790,502.638
308.247,10.752,17.132,24.244,193.556,133.303,501.803
309.641,10.404,17.313,24.432,192.847,136.133,502.488
310.153,10.568,17.981,24.365,192.628,134.593,502.781
310.123,9.602,16.904,23.358,192.479,127.496,502.602
310.280,9.652,17.488,24.055,192.630,129.345,502.910
310.389,9.191,16.610,22.198,192.488,126.274,502.877
310.373,9.576,17.048,23.208,192.660,129.630,503.033
309.801,9.864,17.774,25.568,192.732,131.114,502.533
310.246,9.659,17.636,23.697,192.540,129.786,502.786
310.145,10.641,17.565,24.601,192.589,131.929,502.734
310.321,9.346,16.920,23.013,192.554,129.379,502.875
309.842,9.705,17.848,26.544,193.059,131.776,502.901
309.597,9.609,17.442,23.616,192.690,131.193,502.287
309.961,9.653,17.197,23.848,192.667,129.960,502.629
310.239,9.421,17.248,23.315,192.521,129.294,502.760
310.116,9.455,17.429,23.730,192.758,129.572,502.874
310.308,9.624,17.331,22.966,192.570,129.289,502.878
309.811,9.803,17.676,24.689,192.958,132.306,502.769
310.090,9.291,17.279,22.288,192.654,125.405,502.745
309.859,9.584,17.597,24.862,192.919,132.499,502.778
309.950,9.767,17.202,23.932,192.999,131.955,502.949
309.959,9.406,17.539,23.863,192.744,128.148,502.703
310.008,9.364,17.183,24.079,192.599,131.292,502.607
310.122,9.593,17.271,24.460,192.731,129.185,502.852
310.055,9.731,17.865,24.015,192.745,133.058,502.800
310.136,9.370,17.180,22.946,192.710,127.251,502.846
309.252,9.879,17.960,24.657,192.662,133.036,501.914
310.268,9.799,17.852,24.134,192.864,132.828,503.132
309.962,10.072,16.943,24.609,192.615,132.221,502.576
310.313,9.307,17.265,22.762,192.655,127.518,502.968
309.951,9.519,17.420,24.852,192.628,129.009,502.579
310.393,9.380,17.207,21.883,192.512,125.695,502.905
310.248,9.560,17.307,24.470,192.806,132.866,503.055
309.983,9.992,17.472,24.534,192.687,133.896,502.669
310.728,10.102,17.188,24.799,192.670,132.014,503.398
310.148,9.538,17.175,22.515,192.640,129.858,502.788
310.054,9.981,17.835,23.801,192.784,131.349,502.837
309.942,9.720,17.876,25.947,192.688,136.113,502.630
310.158,9.666,17.321,25.192,192.724,135.524,502.882
310.135,9.739,17.801,25.299,192.770,131.247,502.905
310.075,9.502,17.610,25.164,192.778,130.308,502.852
310.246,9.572,17.162,22.964,192.626,128.853,502.872
309.982,10.132,17.320,22.818,192.806,130.341,502.788
309.871,9.756,18.106,24.292,192.865,130.062,502.737
310.023,9.624,17.478,24.228,192.829,134.550,502.852
309.863,9.656,17.802,23.561,192.564,131.346,502.426
310.017,9.901,17.172,23.960,192.617,132.066,502.634
310.526,10.136,17.042,22.349,192.877,127.750,503.402
309.485,9.350,17.544,23.789,192.646,133.212,502.131
310.211,9.661,17.446,22.929,192.577,128.884,502.789
280.245,18.493,24.197,38.323,197.307,213.651,477.551
294.369,16.760,22.480,32.512,196.496,186.703,490.864
306.938,10.198,18.132,24.445,193.359,135.823,500.297
306.394,9.803,17.578,24.480,193.277,133.390,499.670
306.850,10.560,17.950,25.266,193.435,134.814,500.285
307.075,10.459,17.951,24.439,193.171,136.946,500.246
306.955,10.375,17.738,25.178,193.334,132.798,500.290
306.832,10.214,18.972,25.307,193.512,136.083,500.345
306.692,9.398,17.706,24.844,193.575,132.304,500.267
305.872,10.115,18.159,26.700,193.573,144.634,499.445
306.978,10.125,17.383,23.098,193.391,130.800,500.369
306.964,9.673,17.917,25.000,193.289,135.402,500.253
306.689,10.323,17.439,24.359,193.187,135.731,499.876
289.604,16.305,20.950,33.889,196.730,189.103,486.334
