rx,tx
34.793,4.952
34.286,6.052
34.509,5.749
34.871,5.213
34.884,5.183
34.869,5.192
34.874,5.202
34.878,5.190
34.869,5.206
34.793,5.194
33.520,5.152
33.513,5.147
33.511,5.150
33.465,5.133
33.514,5.149
33.483,5.144
33.507,5.141
33.529,5.143
33.509,5.143
33.410,5.068
33.530,5.143
33.507,5.138
33.520,5.141
33.526,5.142
33.507,5.063
33.522,5.144
33.407,5.358
32.818,6.546
32.781,6.449
32.806,6.543
32.804,6.545
32.804,6.545
32.812,6.525
32.809,6.547
32.820,6.542
32.813,6.545
32.796,6.426
32.799,6.540
32.806,6.542
32.808,6.546
32.782,6.530
32.803,6.542
32.805,6.541
32.808,6.542
32.806,6.540
32.814,6.540
33.033,6.188
33.520,5.121
33.521,5.136
33.517,5.131
33.516,5.130
33.518,5.120
33.518,5.135
33.507,5.127
33.525,5.129
33.507,5.129
33.516,5.131
33.523,5.131
33.644,5.004
33.525,5.133
33.530,5.136
33.517,5.135
33.531,5.136
33.527,5.136
33.516,5.137
33.498,5.135
33.520,5.131
33.529,5.136
33.524,5.137
33.534,5.131
33.525,5.132
33.523,5.135
33.529,5.135
33.529,4.992
33.525,5.132
33.523,5.135
33.519,5.139
33.532,5.141
33.529,5.132
33.538,5.136
33.541,5.132
33.527,5.136
33.527,5.133
33.532,5.133
33.523,5.136
33.544,5.131
33.528,5.135
33.529,5.127
33.542,5.131
33.523,5.129
33.535,5.129
33.527,5.136
33.532,5.129
33.530,5.133
33.531,5.124
33.425,5.053
33.532,5.129
33.538,5.129
33.539,5.131
33.514,5.133
33.528,5.131
33.539,5.126
33.533,5.132
33.535,5.135
33.530,5.137
33.525,5.135
33.525,5.133
33.048,6.080
32.814,6.532
32.809,6.536
32.816,6.532
32.800,6.537
32.800,6.534
32.809,6.536
32.784,6.340
32.800,6.534
32.782,6.536
32.799,6.536
32.812,6.526
32.801,6.534
32.799,6.537
32.792,6.532
32.800,6.529
32.799,6.535
32.793,6.536
32.791,6.539
32.791,6.537
32.795,6.537
32.784,6.536
32.800,6.537
32.795,6.537
32.801,6.539
32.789,6.536
32.796,6.534
32.792,6.537
32.793,6.536
32.787,6.534
32.786,6.536
32.800,6.537
32.791,6.539
32.788,6.537
33.477,5.331
33.519,5.133
33.518,5.126
33.521,5.133
33.518,5.133
33.523,5.126
33.536,5.132
33.521,5.130
33.520,5.136
33.511,5.132
33.520,5.130
33.526,5.132
33.523,5.133
33.526,5.130
33.475,5.122
33.527,5.127
33.527,5.135
33.520,5.129
33.520,5.135
33.533,5.129
33.523,5.129
33.526,5.136
33.506,5.132
33.526,5.130
33.527,5.131
33.525,5.129
33.526,5.129
33.512,5.136
33.514,5.136
33.519,5.130
33.516,5.137
33.514,5.136
33.516,5.136
33.520,5.136
33.510,5.030
33.512,5.132
33.524,5.131
33.518,5.132
33.517,5.135
33.512,5.138
33.524,5.133
33.511,5.133
33.520,5.136
33.518,5.136
33.512,5.139
33.516,5.139
33.519,5.130
33.510,5.135
33.515,5.138
33.519,5.141
33.521,5.131
33.520,5.141
33.518,5.136
33.514,5.132
33.519,5.136
33.526,5.136
33.507,5.136
33.526,5.138
33.512,5.137
33.517,5.136
33.520,5.137
33.519,5.142
33.525,5.129
33.530,5.143
33.526,5.143
33.522,5.141
33.522,5.141
33.526,5.141
33.526,5.145
33.513,5.145
33.535,5.141
33.523,5.142
33.516,5.142
33.525,5.056
33.523,5.139
33.512,5.143
33.530,5.144
33.526,5.142
33.529,5.136
33.525,5.135
33.536,5.136
33.532,5.135
33.539,5.130
33.548,5.130
33.532,5.129
33.544,5.129
33.536,5.130
33.540,5.133
33.546,5.136
33.525,5.138
33.540,5.132
33.536,5.130
33.530,5.136
33.538,5.132
33.530,5.136
33.536,5.132
33.538,5.130
33.517,5.135
33.535,5.137
33.544,5.132
33.535,5.132
33.533,5.138
33.529,5.133
33.528,5.137
33.538,5.131
33.543,5.126
33.545,5.126
33.537,5.137
33.533,5.135
33.525,5.136
33.527,5.141
33.531,5.137
33.527,5.135
33.531,5.131
33.541,5.136
33.531,5.136
33.536,5.132
33.536,5.132
33.529,5.130
33.538,5.050
33.525,5.136
33.535,5.129
33.532,5.136
33.525,5.136
33.540,5.136
33.517,5.143
33.535,5.136
33.538,5.136
33.532,5.132
33.539,5.137
33.525,5.138
33.530,5.136
33.537,5.133
33.536,5.132
33.531,5.139
33.532,5.131
33.536,5.138
33.534,5.138
33.538,5.134
33.536,5.138
33.534,5.139
33.538,5.136
33.536,5.137
33.542,5.132
33.542,5.138
33.521,5.137
33.536,5.135
33.546,5.137
33.536,5.135
33.537,5.136
33.530,5.137
33.525,5.139
33.527,5.131
33.533,5.136
33.544,5.141
33.533,5.132
33.539,5.132
33.521,5.133
33.536,5.127
