rx,tx
30.039,4.236
30.559,4.751
30.123,4.572
30.109,4.491
30.129,4.537
30.092,4.753
30.106,4.530
30.066,4.582
30.095,4.551
30.088,4.731
30.106,4.530
30.330,4.675
32.132,4.490
32.096,4.612
32.143,4.413
32.007,4.425
30.139,4.619
30.115,4.842
30.106,4.608
30.111,4.674
30.137,4.680
30.109,4.730
30.140,4.540
30.127,4.749
30.118,4.635
30.090,4.702
30.143,4.460
30.128,4.601
30.087,4.599
30.122,4.701
30.122,4.510
30.107,4.534
30.113,4.782
30.134,4.644
30.113,4.602
30.128,4.687
30.123,4.639
30.088,4.759
30.102,4.485
30.125,4.626
30.099,4.520
30.080,4.738
30.129,4.534
30.109,4.576
30.110,4.617
30.109,4.687
30.133,4.679
30.112,4.485
30.152,4.484
30.129,4.670
30.108,4.572
30.132,4.527
30.106,4.527
30.107,4.688
30.128,4.448
30.126,4.577
30.087,4.594
30.138,4.630
30.105,4.472
30.110,4.657
30.140,4.513
30.073,4.811
30.111,4.577
30.114,4.557
30.096,4.693
30.129,4.604
30.099,4.445
30.128,4.465
30.105,4.578
30.110,4.745
30.134,4.513
30.111,4.568
30.112,4.559
30.102,4.703
30.105,4.520
30.118,4.637
30.137,4.648
30.138,4.779
30.094,4.681
30.129,4.573
30.120,4.572
30.094,4.707
30.104,4.726
30.117,4.748
30.118,4.720
30.113,4.562
30.127,4.542
30.084,4.482
30.140,4.473
30.115,4.744
30.101,4.514
30.128,4.528
30.118,4.541
30.099,4.656
30.171,4.561
30.127,4.554
30.120,4.619
30.109,4.704
30.127,4.548
30.144,4.630
30.108,4.572
30.114,4.613
30.124,4.526
30.103,4.699
30.134,4.516
30.138,4.658
30.119,4.522
30.105,4.651
30.061,4.637
30.126,4.747
30.116,4.642
30.119,4.589
30.127,4.579
30.128,4.723
30.121,4.491
30.105,4.548
30.105,4.720
30.118,4.685
30.271,4.559
30.124,4.493
30.114,4.622
30.138,4.554
30.128,4.537
30.089,4.520
30.124,4.619
30.124,4.733
30.126,4.566
30.136,4.602
30.124,4.736
30.119,4.696
30.082,4.619
30.098,4.624
30.124,4.554
30.083,4.709
30.111,4.547
30.093,4.606
30.094,4.459
30.101,4.771
30.105,4.583
30.097,4.568
30.104,4.511
30.081,4.724
30.100,4.560
30.095,4.606
30.089,4.611
30.100,4.641
30.106,4.605
30.078,4.571
30.078,4.600
30.100,4.573
30.083,4.707
30.093,4.503
30.073,4.605
30.085,4.666
30.087,4.567
30.071,4.656
30.148,4.711
30.114,4.699
30.079,4.510
30.089,4.734
30.081,4.521
30.094,4.611
30.096,4.580
30.076,4.503
30.106,4.599
30.077,4.675
30.091,4.557
30.085,4.470
30.091,4.559
30.104,4.629
30.108,4.542
30.083,4.589
30.087,4.519
30.065,4.534
30.084,4.543
30.099,4.721
30.082,4.599
30.120,4.582
30.100,4.468
30.100,4.464
30.092,4.590
30.108,4.741
30.098,4.510
30.114,4.749
30.092,4.578
30.104,4.684
30.109,4.515
30.159,4.542
30.086,4.527
30.101,4.622
30.107,4.532
30.059,4.547
30.106,4.566
30.067,4.565
30.109,4.576
30.094,4.576
30.093,4.584
30.099,4.777
30.097,4.508
30.112,4.578
30.105,4.595
30.098,4.725
30.101,4.537
30.118,4.487
30.089,4.557
30.104,4.688
30.108,4.584
30.119,4.595
30.117,4.567
30.138,4.618
30.133,4.679
30.112,4.560
30.112,4.685
30.111,4.602
30.126,4.448
30.130,4.526
30.104,4.567
30.135,4.648
30.097,4.521
30.124,4.687
30.124,4.583
30.107,4.682
30.112,4.579
30.112,4.504
30.126,4.629
30.110,4.724
30.093,4.656
30.147,4.605
30.114,4.731
30.113,4.835
30.114,4.585
30.106,4.658
30.118,4.527
30.132,4.688
30.133,4.525
30.121,4.591
30.123,4.590
30.124,4.687
30.099,4.492
30.108,4.533
30.114,4.617
30.087,4.622
30.099,4.510
30.114,4.634
30.096,4.560
30.110,4.571
30.081,4.579
30.113,4.590
30.093,4.590
30.097,4.745
30.098,4.554
30.107,4.474
30.121,4.457
30.127,4.641
30.123,4.745
30.112,4.488
30.112,4.527
30.103,4.639
30.093,4.497
30.105,4.596
30.089,4.550
30.122,4.574
30.130,4.518
30.116,4.711
30.118,4.594
30.123,4.753
30.136,4.676
30.114,4.796
30.098,4.624
30.120,4.758
30.127,4.577
30.130,4.507
30.131,4.500
30.113,4.658
30.125,4.551
30.100,4.559
30.087,4.561
30.120,4.736
30.118,4.582
30.119,4.615
30.180,4.562
30.135,4.749
30.120,4.434
30.104,4.482
30.098,4.567
30.127,4.720
30.117,4.588
30.089,4.582
30.127,4.644
30.142,4.673
30.119,4.468
30.111,4.480
30.117,4.653
30.113,4.651
30.101,4.493
30.088,4.559
30.109,4.589
30.110,4.789
30.119,4.652
30.110,4.646
